Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
499,diffconflicts,410,20,410,2,2018-07-18T07:08:40Z,2024-01-30T15:39:25Z,746,A better Vimdiff Git mergetool,Vim Script,https://github.com/whiteinge/diffconflicts
500,vime,409,76,409,6,2019-05-14T09:31:50Z,2022-01-20T14:53:57Z,16147,"vime, an easy and structural config for (neo)vim users",Vim script,https://github.com/fgheng/vime
501,vim-silicon,408,5,408,9,2019-07-28T19:07:26Z,2024-02-19T10:04:21Z,28,Vim plugin for generating images of source code using https://github.com/Aloxaf/silicon,Vim script,https://github.com/segeljakt/vim-silicon
502,vim-tbone,407,17,407,5,2013-03-27T05:13:48Z,2023-03-31T16:42:56Z,18,tbone.vim: tmux basics,Vim Script,https://github.com/tpope/vim-tbone
503,vim-bundler,405,29,405,9,2011-08-22T03:54:22Z,2023-08-26T21:50:44Z,119,bundler.vim: Lightweight support for Ruby's Bundler,Vim Script,https://github.com/tpope/vim-bundler
504,configs,403,124,403,1,2019-05-10T04:17:02Z,2022-06-23T23:26:31Z,181,My neovim configuration,Vim script,https://github.com/nschurmann/configs
505,vim-interestingwords,400,61,400,1,2014-09-05T21:27:32Z,2024-07-04T01:17:46Z,55,🎨 A plugin for seamlessly highlighting and navigating through words,Vim Script,https://github.com/lfv89/vim-interestingwords
506,vim-buffet,399,24,399,16,2017-05-12T05:41:48Z,2023-04-08T16:40:13Z,1989,IDE-like Vim tabline,Vim script,https://github.com/bagrat/vim-buffet
507,scratch.vim,397,32,397,6,2013-07-19T20:02:58Z,2021-12-24T23:00:11Z,480,Unobtrusive scratch window,Vim script,https://github.com/mtth/scratch.vim
508,dotfile,396,72,396,2,2015-05-29T07:09:56Z,2020-03-31T05:26:56Z,977,YiJun's (Neo)Vim work file,Vim script,https://github.com/DemonCloud/dotfile
509,braceless.vim,396,13,396,13,2016-02-15T15:47:00Z,2017-08-30T13:17:48Z,223,":snake: Text objects, folding, and more for Python and other indented languages.",Vim script,https://github.com/tweekmonster/braceless.vim
510,ctrlp-funky,395,69,395,10,2012-02-25T17:41:07Z,2025-02-11T04:44:53Z,603,A super simple function navigator for ctrlp.vim,Vim Script,https://github.com/tacahiroy/ctrlp-funky
511,img-paste.vim,395,87,395,21,2017-12-10T15:21:58Z,2024-04-04T07:25:40Z,146,paste image to markdown,Vim Script,https://github.com/img-paste-devs/img-paste.vim
512,vim-asterisk,394,18,394,16,2014-11-27T16:27:27Z,2021-03-31T18:27:50Z,87,:snowflake: *-Improved,Vim script,https://github.com/haya14busa/vim-asterisk
513,vim-monokai-tasty,394,53,394,1,2018-12-05T06:14:33Z,2025-03-12T04:35:56Z,2115,VIM Colour scheme,Vim Script,https://github.com/patstockwell/vim-monokai-tasty
514,coc-fzf,392,28,392,5,2020-01-26T03:42:15Z,2024-04-24T19:55:59Z,198,fzf :heart: coc.nvim,Vim Script,https://github.com/antoinemadec/coc-fzf
515,pyflakes-vim,392,66,392,32,2008-11-11T02:49:02Z,2022-01-06T08:11:01Z,365,on the fly Python checking in Vim with PyFlakes,Vim script,https://github.com/kevinw/pyflakes-vim
516,pear-tree,390,13,390,18,2018-03-02T19:43:17Z,2024-11-29T16:30:04Z,207,"A Vim auto-pair plugin that supports multi-character pairs, intelligent matching, and more",Vim Script,https://github.com/tmsvg/pear-tree
517,zeavim.vim,387,28,387,2,2014-05-02T08:08:20Z,2022-11-02T15:47:37Z,1019,Zeal for Vim,Vim script,https://github.com/KabbAmine/zeavim.vim
518,mydotfiles,384,159,384,0,2015-06-27T06:24:45Z,2024-06-30T07:50:51Z,3789,All my dot configuration files.,Vim Script,https://github.com/TimothyYe/mydotfiles
519,Misc-Cheatsheet,384,39,384,0,2021-06-02T15:42:46Z,2022-07-07T08:32:20Z,30,대학원 생활을 하며 사용하는 작고 소중한 코딩팁 (linux 명령어 등),Vim script,https://github.com/subinium/Misc-Cheatsheet
520,vim-php-cs-fixer,382,39,382,8,2012-05-20T17:07:13Z,2023-03-01T11:36:16Z,64,Use FriendsOfPHP/PHP-CS-Fixer,Vim Script,https://github.com/stephpy/vim-php-cs-fixer
521,vim-kitty-navigator,382,32,382,9,2018-12-26T20:11:16Z,2024-12-06T14:06:13Z,23,Seamless navigation between kitty panes and vim splits,Vim Script,https://github.com/knubie/vim-kitty-navigator
522,xterm-color-table.vim,381,39,381,6,2011-01-21T05:18:22Z,2022-11-21T20:34:45Z,498,"All 256 xterm colors with their RGB equivalents, right in Vim!",Vim Script,https://github.com/guns/xterm-color-table.vim
523,vim-tpipeline,380,11,380,2,2021-01-11T00:07:46Z,2024-09-11T18:57:46Z,418,Embed your vim statusline in tmux,Vim Script,https://github.com/vimpostor/vim-tpipeline
524,vim-yoink,379,7,379,14,2018-12-25T16:19:45Z,2021-09-15T09:53:15Z,127,Vim plugin that maintains a yank history to cycle between when pasting,Vim script,https://github.com/svermeulen/vim-yoink
525,eddie-vim,379,140,379,3,2012-01-13T00:00:28Z,2020-02-07T11:30:09Z,1268,Yet another vimrc,VimL,https://github.com/kaochenlong/eddie-vim
526,vim-ledger,378,55,378,33,2012-11-12T19:01:20Z,2025-01-28T21:59:14Z,317,Vim plugin for Ledger,Vim Script,https://github.com/ledger/vim-ledger
527,caw.vim,378,47,378,36,2010-02-27T07:01:09Z,2023-06-06T07:04:42Z,561,"Vim comment plugin: supported operator/non-operator mappings, repeatable by dot-command, 300+ filetypes",Vim Script,https://github.com/tyru/caw.vim
528,verilog_systemverilog.vim,378,90,378,33,2013-08-19T14:43:19Z,2024-10-13T18:47:41Z,529,Verilog/SystemVerilog Syntax and Omni-completion,Vim Script,https://github.com/vhda/verilog_systemverilog.vim
529,vim-colors-github,377,42,377,12,2018-10-13T13:45:25Z,2022-03-20T11:14:32Z,1926,A Vim colorscheme based on Github's syntax highlighting as of 2018.,Vim script,https://github.com/cormacrelf/vim-colors-github
530,cheat.sh-vim,377,16,377,2,2018-04-20T22:44:33Z,2022-08-07T16:36:13Z,184,A vim plugin to access cheat.sh sheets,Vim script,https://github.com/dbeniamine/cheat.sh-vim
531,vim-sublime,376,42,376,7,2013-11-28T19:09:45Z,2018-09-07T06:33:15Z,29517,A ready to use minimal Vim (Sublime Text -like) .vimrc configuration,VimL,https://github.com/grigio/vim-sublime
532,spacevim,373,21,373,5,2016-04-10T19:15:55Z,2018-03-29T17:43:28Z,849,Spacemacs for vim,Vim script,https://github.com/ctjhoa/spacevim
533,vim-template,373,152,373,23,2012-03-07T19:59:22Z,2024-10-25T21:35:52Z,197,Simple templates plugin for Vim ,Vim Script,https://github.com/aperezdc/vim-template
534,darcula,373,60,373,10,2019-10-06T14:21:53Z,2024-07-23T11:54:50Z,607,A Vim color scheme reproduction of the official JetBrains IDE Darcula theme,Vim script,https://github.com/doums/darcula
535,vim-material,371,43,371,0,2017-07-06T04:36:42Z,2024-10-14T04:49:29Z,40,🧩 Visual Studio Code Material Theme port for Vim/Neovim,Vim Script,https://github.com/hzchirs/vim-material
536,vim-swift,369,20,369,3,2014-06-03T02:42:24Z,2016-12-27T01:09:37Z,13,"Adds Swift support to vim. It covers syntax, intenting, and more.",VimL,https://github.com/toyamarinyon/vim-swift
537,vim-searchindex,368,24,368,6,2015-10-13T23:03:16Z,2019-09-26T12:40:42Z,423,vim-searchindex: display number of search matches & index of a current match,Vim script,https://github.com/google/vim-searchindex
538,vim-misc,366,56,366,11,2011-03-15T22:01:27Z,2021-05-22T15:22:45Z,724,Miscellaneous auto-load Vim scripts,VimL,https://github.com/xolox/vim-misc
539,spelunker.vim,366,21,366,28,2018-11-12T16:38:50Z,2024-07-19T08:38:33Z,1047,Improved vim spelling plugin (with camel case support)!,Vim script,https://github.com/kamykn/spelunker.vim
540,vim-enfocado,364,15,364,3,2021-09-18T21:07:22Z,2024-04-25T16:09:30Z,22011,How themes should be.,Vim Script,https://github.com/wuelnerdotexe/vim-enfocado
541,dotmatrix,363,95,363,7,2009-10-05T20:04:56Z,2023-02-25T21:22:54Z,586,Hashrocket Dot Files,Vim Script,https://github.com/hashrocket/dotmatrix
542,cfg,363,86,363,1,2010-10-23T22:53:46Z,2019-01-18T09:03:02Z,3629,dotfiles and related syncing scripts,Vim script,https://github.com/durdn/cfg
543,python-syntax,363,108,363,23,2013-05-12T20:14:32Z,2022-01-09T12:07:21Z,442,Python syntax highlighting script for Vim,VimL,https://github.com/hdima/python-syntax
