Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
888,perhap,123,7,123,3,2017-05-27T23:45:23Z,2019-11-04T18:28:08Z,108,Perhap is an purely functional event store and service framework inspired by domain driven design and reactive architectures.,Elixir,https://github.com/Perhap/perhap
889,relax,122,13,122,0,2014-11-29T02:57:41Z,2016-05-14T13:59:14Z,99,Simple Elixir implementation of a jsonapi.org server.,Elixir,https://github.com/AgilionApps/relax
890,live_elements,122,6,122,2,2023-03-04T22:06:44Z,2025-02-16T18:06:10Z,98,A library to make custom elements and LiveView so happy together,Elixir,https://github.com/launchscout/live_elements
891,tailwind_formatter,122,13,122,14,2022-07-24T15:17:45Z,2025-01-12T16:59:53Z,333,Sorts tailwind classes within elixir projects,Elixir,https://github.com/100phlecs/tailwind_formatter
892,bling,122,11,122,7,2023-05-24T07:19:51Z,2024-08-03T05:11:00Z,208,💰 Add recurring stripe subscriptions to phoenix applications,Elixir,https://github.com/ozziexsh/bling
893,x509,121,32,121,16,2018-06-26T12:25:47Z,2024-10-29T12:30:12Z,322,"Elixir package for working with X.509 certificates, Certificate Signing Requests (CSRs), Certificate Revocation Lists (CRLs) and RSA/ECC key pairs",Elixir,https://github.com/voltone/x509
894,Exonerate,121,4,121,29,2019-09-09T20:13:53Z,2024-03-11T00:01:56Z,1674,JSONSchema -> Elixir code generator,Elixir,https://github.com/E-xyza/Exonerate
895,ash_phoenix,121,68,121,8,2020-10-21T01:32:22Z,2025-03-27T22:07:16Z,1246,Utilities for integrating Ash and Phoenix,Elixir,https://github.com/ash-project/ash_phoenix
896,highlander,121,10,121,1,2020-04-23T07:48:39Z,2024-04-12T08:07:41Z,18,There can only be one (process in your cluster)!,Elixir,https://github.com/derekkraan/highlander
897,github_ecto,121,12,121,1,2016-02-08T17:24:46Z,2017-03-30T16:21:47Z,96,Ecto adapter for GitHub API,Elixir,https://github.com/wojtekmach/github_ecto
898,timescale,121,11,121,9,2022-08-19T23:32:02Z,2023-07-22T22:49:35Z,95,TimescaleDB made easy with Ecto,Elixir,https://github.com/davydog187/timescale
