Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
30,awesome-clojure,2749,209,2749,6,2014-07-09T15:27:44Z,2024-05-22T19:56:53Z,210,A curated list of awesome Clojure libraries and resources. Inspired by awesome-... stuff,Clojure,https://github.com/razum2um/awesome-clojure
31,pedestal,2724,296,2724,25,2013-03-04T17:18:45Z,2025-03-28T00:04:09Z,7925,The Pedestal Server-side Libraries,Clojure,https://github.com/pedestal/pedestal
32,hiccup,2720,177,2720,25,2009-11-02T21:08:16Z,2025-03-21T17:51:39Z,466,Fast library for rendering HTML in Clojure,Clojure,https://github.com/weavejester/hiccup
33,xtdb,2636,174,2636,531,2018-03-19T08:19:27Z,2025-03-28T13:33:06Z,220811,"An immutable SQL database for application development, time-travel reporting and data compliance. Developed by @juxt",Clojure,https://github.com/xtdb/xtdb
34,clojure-cookbook,2600,435,2600,41,2013-06-12T01:11:34Z,2024-01-12T10:11:30Z,11402,This is the home of O'Reilly's Clojure Cookbook - http://clojure-cookbook.com,Clojure,https://github.com/clojure-cookbook/clojure-cookbook
35,aleph,2557,239,2557,40,2010-07-07T08:02:58Z,2025-02-25T09:19:06Z,3602,"Asynchronous streaming communication for Clojure - web server, web client, and raw TCP/UDP",Clojure,https://github.com/clj-commons/aleph
36,specter,2550,105,2550,38,2015-02-26T15:56:33Z,2024-09-16T15:10:52Z,1921,Clojure(Script)'s missing piece,Clojure,https://github.com/redplanetlabs/specter
37,code-maat,2446,226,2446,12,2013-08-08T13:48:26Z,2024-11-18T10:05:49Z,1413,A command line tool to mine and analyze data from version-control systems,Clojure,https://github.com/adamtornhill/code-maat
38,schema,2424,254,2424,27,2013-07-22T23:26:46Z,2024-08-31T00:23:49Z,3167,Clojure(Script) library for declarative data description and validation,Clojure,https://github.com/plumatic/schema
39,shadow-cljs,2302,181,2302,34,2015-10-09T18:44:09Z,2025-03-25T14:03:28Z,8577,ClojureScript compilation made easy,Clojure,https://github.com/thheller/shadow-cljs
40,incanter,2239,289,2239,78,2009-03-12T02:58:47Z,2023-11-10T07:21:02Z,42571,"Clojure-based, R-like statistical computing and graphics environment for the JVM",Clojure,https://github.com/incanter/incanter
41,component,2106,94,2106,2,2013-10-22T01:48:47Z,2022-02-26T19:00:25Z,153,Managed lifecycle of stateful objects in Clojure,Clojure,https://github.com/stuartsierra/component
42,onyx,2050,203,2050,84,2013-12-02T01:21:14Z,2019-08-31T10:58:07Z,17013,"Distributed, masterless, high performance, fault tolerant data processing",Clojure,https://github.com/onyx-platform/onyx
43,core.async,1988,212,1988,2,2013-05-15T15:43:16Z,2025-03-27T13:57:34Z,1715,Facilities for async programming and communication in Clojure,Clojure,https://github.com/clojure/core.async
44,electric,1923,52,1923,9,2020-09-30T14:24:43Z,2025-03-22T15:24:28Z,10600,Electric Clojure: full-stack differential dataflow for UI,Clojure,https://github.com/hyperfiddle/electric
45,clerk,1898,82,1898,69,2021-03-08T13:26:30Z,2025-03-25T19:48:48Z,3932,⚡️ Moldable Live Programming for Clojure,Clojure,https://github.com/nextjournal/clerk
46,transit-format,1884,36,1884,10,2014-06-26T21:39:15Z,2024-07-15T19:50:55Z,1207,A data interchange format.,Clojure,https://github.com/cognitect/transit-format
47,lumo,1875,85,1875,111,2016-09-28T01:52:55Z,2022-05-16T17:17:30Z,20392,"Fast, cross-platform, standalone ClojureScript environment",Clojure,https://github.com/anmonteiro/lumo
48,lacinia,1831,163,1831,21,2017-03-15T21:59:45Z,2025-02-08T17:51:06Z,3642,GraphQL implementation in pure Clojure,Clojure,https://github.com/walmartlabs/lacinia
49,honeysql,1810,176,1810,3,2012-07-13T13:58:26Z,2025-03-28T06:06:53Z,1567,Turn Clojure data structures into SQL,Clojure,https://github.com/seancorfield/honeysql
50,clj-http,1798,412,1798,68,2011-09-07T21:37:58Z,2024-08-19T19:50:50Z,2077,An idiomatic clojure http client wrapping the apache client. Officially supported version.,Clojure,https://github.com/dakrone/clj-http
51,kibit,1765,132,1765,54,2012-03-04T18:57:05Z,2024-05-22T00:06:30Z,471,There's a function for that!,Clojure,https://github.com/clj-commons/kibit
52,sente,1757,192,1757,19,2014-02-21T11:30:04Z,2024-12-31T15:57:15Z,1619,Realtime web comms library for Clojure/Script,Clojure,https://github.com/taoensso/sente
53,clj-kondo,1753,293,1753,89,2019-03-20T22:58:13Z,2025-03-26T20:52:13Z,14836,Static analyzer and linter for Clojure code that sparks joy,Clojure,https://github.com/clj-kondo/clj-kondo
54,boot,1745,179,1745,111,2014-10-23T20:36:42Z,2021-04-22T20:43:31Z,3062,Build tooling for Clojure.,Clojure,https://github.com/boot-clj/boot
55,Midje,1693,129,1693,43,2010-05-23T19:00:57Z,2024-01-04T12:07:30Z,73017,"Midje provides a migration path from clojure.test to a more flexible, readable, abstract, and gracious style of testing",Clojure,https://github.com/marick/Midje
56,Arcadia,1682,108,1682,55,2014-04-17T11:20:45Z,2023-02-15T19:05:25Z,57904,Clojure in Unity,Clojure,https://github.com/arcadia-unity/Arcadia
57,datahike,1653,97,1653,73,2018-01-05T16:57:28Z,2025-02-04T09:00:27Z,5075,"A fast, immutable, distributed & compositional Datalog engine for everyone. ",Clojure,https://github.com/replikativ/datahike
58,closh,1627,66,1627,65,2017-10-31T16:23:51Z,2022-12-05T02:30:31Z,2278,Bash-like shell based on Clojure,Clojure,https://github.com/dundalek/closh
59,enlive,1619,151,1619,31,2009-01-18T12:12:35Z,2022-01-17T12:51:48Z,361,a selector-based (à la CSS) templating and transformation system for Clojure,Clojure,https://github.com/cgrand/enlive
60,HumbleUI,1601,54,1601,32,2021-10-29T21:30:52Z,2025-01-02T14:28:13Z,4245,Clojure Desktop UI framework,Clojure,https://github.com/HumbleUI/HumbleUI
61,malli,1567,217,1567,184,2019-05-17T19:21:51Z,2025-03-21T18:17:21Z,7985,High-performance data-driven data specification library for Clojure/Script.,Clojure,https://github.com/metosin/malli
62,fulcro,1565,141,1565,1,2017-07-12T16:57:03Z,2025-03-27T04:02:25Z,18377,A library for development of single-page full-stack web applications in clj/cljs,Clojure,https://github.com/fulcrologic/fulcro
63,devcards,1530,112,1530,30,2014-05-09T18:46:00Z,2023-09-17T15:16:13Z,7049,Devcards aims to provide a visual REPL experience for ClojureScript,Clojure,https://github.com/bhauman/devcards
64,cheshire,1496,155,1496,55,2011-03-23T14:11:48Z,2025-03-21T21:13:37Z,1206,Clojure JSON and JSON SMILE (binary json format) encoding/decoding,Clojure,https://github.com/dakrone/cheshire
65,plumbing,1491,106,1491,12,2013-01-25T00:39:58Z,2023-02-01T03:46:03Z,604,Prismatic's Clojure(Script) utility belt,Clojure,https://github.com/plumatic/plumbing
66,dactyl-manuform,1490,164,1490,15,2018-04-09T15:52:38Z,2022-09-30T21:33:56Z,75268,,Clojure,https://github.com/abstracthat/dactyl-manuform
67,ClojureDart,1488,99,1488,108,2021-01-25T09:00:10Z,2025-03-28T08:53:35Z,8590,Clojure dialect for Flutter and Dart,Clojure,https://github.com/Tensegritics/ClojureDart
68,drake,1483,110,1483,83,2013-01-24T15:38:50Z,2022-04-12T00:06:43Z,827,"Data workflow tool, like a ""Make for data""",Clojure,https://github.com/Factual/drake
69,seesaw,1476,145,1476,72,2011-03-21T02:44:09Z,2023-07-28T19:55:45Z,2371,"Seesaw turns the Horror of Swing into a friendly, well-documented, Clojure library",Clojure,https://github.com/clj-commons/seesaw
70,reitit,1474,260,1474,141,2017-08-07T10:29:40Z,2025-03-28T14:13:49Z,19685,A fast data-driven routing library for Clojure/Script,Clojure,https://github.com/metosin/reitit
71,Korma,1473,219,1473,80,2011-10-05T22:02:15Z,2020-10-15T17:12:25Z,820,Tasty SQL for Clojure.,Clojure,https://github.com/korma/Korma
72,yesql,1471,111,1471,58,2013-09-24T10:29:23Z,2024-11-23T00:30:44Z,300,A Clojure library for using SQL.,Clojure,https://github.com/krisajenkins/yesql
73,core.logic,1464,125,1464,1,2011-04-27T20:42:46Z,2024-07-15T17:52:27Z,3139,A logic programming library for Clojure & ClojureScript,Clojure,https://github.com/clojure/core.logic
74,konstellate,1463,81,1463,14,2019-05-09T20:18:07Z,2019-07-25T15:08:39Z,1010,Free and Open Source GUI to Visualize Kubernetes Applications.,Clojure,https://github.com/jeremykross/konstellate
75,timbre,1458,173,1458,5,2012-05-28T06:22:02Z,2025-02-28T13:43:02Z,1346,Pure Clojure/Script logging library,Clojure,https://github.com/taoensso/timbre
76,Nightcode,1400,123,1400,32,2013-06-06T03:09:02Z,2021-04-24T06:40:22Z,18413,An IDE for Clojure,Clojure,https://github.com/oakes/Nightcode
77,cascalog,1377,176,1377,40,2010-03-31T00:40:07Z,2023-05-18T22:49:55Z,2416,Data processing on Hadoop without the hassle.,Clojure,https://github.com/nathanmarz/cascalog
78,auto-parcel,1370,83,1370,11,2014-03-13T19:30:16Z,2017-02-12T15:10:29Z,379,Android Parcelable models made easy,Clojure,https://github.com/frankiesardo/auto-parcel
79,garden,1351,93,1351,45,2013-04-09T02:58:50Z,2024-01-16T21:37:58Z,633,Generate CSS with Clojure,Clojure,https://github.com/noprompt/garden
80,duckling_old,1324,217,1324,70,2014-05-15T23:02:02Z,2019-05-30T14:10:47Z,1639,Deprecated in favor of https://github.com/facebook/duckling,Clojure,https://github.com/facebookarchive/duckling_old
81,chestnut,1312,96,1312,11,2014-08-24T21:27:18Z,2022-06-23T20:16:06Z,619,Application template for Clojure + ClojureScript web apps,Clojure,https://github.com/plexus/chestnut
82,core.typed,1291,74,1291,2,2013-02-02T21:35:31Z,2024-07-15T17:52:40Z,13788,An optional type system for Clojure,Clojure,https://github.com/clojure/core.typed
83,integrant,1273,63,1273,17,2016-12-05T00:18:16Z,2025-02-12T16:49:51Z,353,Micro-framework for data-driven architecture,Clojure,https://github.com/weavejester/integrant
84,cortex,1271,110,1271,29,2016-09-27T17:03:43Z,2018-09-10T20:29:23Z,5249,Machine learning in Clojure,Clojure,https://github.com/originrose/cortex
85,GokuRakuJoudo,1263,125,1263,69,2018-09-01T14:51:03Z,2025-02-22T02:59:52Z,865,config karabiner with ease,Clojure,https://github.com/yqrashawn/GokuRakuJoudo
86,sci,1259,90,1259,40,2019-08-11T14:23:42Z,2025-03-25T14:57:32Z,3026,Configurable Clojure/Script interpreter suitable for scripting and Clojure DSLs,Clojure,https://github.com/babashka/sci
87,liberator,1254,129,1254,64,2012-09-02T09:05:07Z,2021-09-28T13:08:50Z,1405,Liberator is a Clojure library for building RESTful applications.,Clojure,https://github.com/clojure-liberator/liberator
88,ultra,1243,37,1243,8,2015-01-04T22:06:34Z,2023-02-16T16:23:57Z,5862,A Leiningen plugin for a superior development environment,Clojure,https://github.com/venantius/ultra
89,mount,1235,87,1235,30,2015-10-19T20:41:45Z,2025-01-31T17:58:57Z,1647,managing Clojure and ClojureScript app state since (reset),Clojure,https://github.com/tolitius/mount
90,datalevin,1224,71,1224,38,2020-06-08T23:53:52Z,2025-03-24T15:31:42Z,48419,"A simple, fast and versatile Datalog database",Clojure,https://github.com/juji-io/datalevin
91,clojure-lsp,1214,160,1214,152,2018-03-28T06:52:45Z,2025-03-27T21:03:31Z,36806,Clojure & ClojureScript Language Server (LSP) implementation,Clojure,https://github.com/clojure-lsp/clojure-lsp
92,clara-rules,1207,114,1207,86,2013-07-27T01:17:19Z,2025-01-14T14:11:56Z,2434,Forward-chaining rules in Clojure(Script),Clojure,https://github.com/oracle-samples/clara-rules
93,criterium,1202,54,1202,19,2009-12-16T15:40:35Z,2025-02-24T13:34:18Z,695,Benchmarking library for clojure,Clojure,https://github.com/hugoduncan/criterium
94,core.match,1196,63,1196,1,2011-09-02T13:19:42Z,2024-07-15T17:52:51Z,1230,An optimized pattern matching library for Clojure,Clojure,https://github.com/clojure/core.match
95,hitchhiker-tree,1192,65,1192,17,2016-02-19T18:49:16Z,2018-07-22T21:01:33Z,393,"Functional, persistent, off-heap, high performance data structure",Clojure,https://github.com/datacrypt-project/hitchhiker-tree
96,carmine,1167,132,1167,8,2012-05-12T10:34:01Z,2025-03-19T09:23:11Z,2771,Redis client + message queue for Clojure,Clojure,https://github.com/taoensso/carmine
97,friend,1153,123,1153,30,2012-03-30T10:01:52Z,2021-03-08T14:41:08Z,276,An extensible authentication and authorization library for Clojure Ring web applications and services. ,Clojure,https://github.com/cemerick/friend
98,cljfmt,1137,121,1137,58,2014-11-17T23:50:14Z,2024-12-07T00:57:17Z,643,A tool for formatting Clojure code,Clojure,https://github.com/weavejester/cljfmt
99,duct,1135,52,1135,12,2014-09-09T14:44:19Z,2021-06-19T11:18:45Z,590,Server-side application framework for Clojure,Clojure,https://github.com/duct-framework/duct
100,frak,1133,39,1133,1,2013-07-29T17:41:10Z,2019-04-10T22:38:00Z,63,Transform collections of strings into regular expressions.,Clojure,https://github.com/noprompt/frak
101,test.check,1129,109,1129,0,2013-12-03T17:43:26Z,2024-07-15T17:53:02Z,1288,QuickCheck for Clojure,Clojure,https://github.com/clojure/test.check
102,libpython-clj,1127,70,1127,31,2019-05-16T20:17:56Z,2024-12-08T17:28:08Z,2342,Python bindings for Clojure,Clojure,https://github.com/clj-python/libpython-clj
103,compojure-api,1117,150,1117,55,2014-01-07T10:00:52Z,2024-11-04T20:35:42Z,3354,Sweet web apis with Compojure & Swagger,Clojure,https://github.com/metosin/compojure-api
104,cljs-devtools,1111,51,1111,18,2015-01-27T21:00:07Z,2023-04-08T21:20:05Z,923,A collection of Chrome DevTools enhancements for ClojureScript developers,Clojure,https://github.com/binaryage/cljs-devtools
105,lein-cljsbuild,1097,151,1097,49,2011-12-29T05:16:58Z,2021-03-19T16:43:38Z,840,Leiningen plugin to make ClojureScript development easy.,Clojure,https://github.com/emezeske/lein-cljsbuild
106,neanderthal,1090,56,1090,7,2014-08-14T22:33:23Z,2025-02-27T18:51:45Z,3957,Fast Clojure Matrix Library,Clojure,https://github.com/uncomplicate/neanderthal
107,eastwood,1083,66,1083,36,2012-01-06T18:33:14Z,2024-07-10T21:23:02Z,3593,Clojure lint tool,Clojure,https://github.com/jonase/eastwood
108,nippy,1065,59,1065,8,2012-07-01T17:13:32Z,2024-12-31T14:39:14Z,1572,The fastest serialization library for Clojure,Clojure,https://github.com/taoensso/nippy
109,4clojure,1065,226,1065,89,2011-04-12T05:35:29Z,2021-08-08T10:25:33Z,3466,An interactive problem website for learning Clojure,Clojure,https://github.com/4clojure/4clojure
110,clojuredocs,1054,77,1054,27,2010-06-29T22:45:39Z,2023-11-09T17:45:56Z,11656,clojuredocs.org web app,Clojure,https://github.com/zk/clojuredocs
111,manifold,1024,108,1024,29,2014-03-04T08:53:48Z,2024-05-14T10:10:43Z,1636,A compatibility layer for event-driven abstractions,Clojure,https://github.com/clj-commons/manifold
112,hoplon,1024,65,1024,38,2013-05-15T21:06:03Z,2024-10-11T00:57:52Z,2040,Simple and powerful tool for building web apps out of highly composable elements in ClojureScript.,Clojure,https://github.com/hoplon/hoplon
113,functional-programming-learning-path,1007,85,1007,1,2018-08-18T17:58:07Z,2024-10-22T11:41:29Z,54622,✨ A Learning Path for Functional Programming,Clojure,https://github.com/imteekay/functional-programming-learning-path
114,amazonica,1005,201,1005,44,2013-03-10T23:49:48Z,2024-12-13T15:22:21Z,1373,A comprehensive Clojure client for the entire Amazon AWS api.,Clojure,https://github.com/mcohen01/amazonica
115,Selmer,1004,115,1004,21,2013-07-22T18:36:19Z,2025-01-31T17:16:05Z,1338,"A fast, Django inspired template system in Clojure.",Clojure,https://github.com/yogthos/Selmer
