Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
28,riscv-isa-manual,4739,855,4739,157,02/02/2017,29/07/2026,57.71 MB,RISC-V Instruction Set Manual,TeX,https://github.com/riscv/riscv-isa-manual,57.71 MB
29,slam-handbook-public-release,4598,300,4598,13,26/10/2024,28/05/2026,100.56 MB,Release repo for our SLAM Handbook,TeX,https://github.com/SLAM-Handbook-contributors/slam-handbook-public-release,100.56 MB
30,DeepLearning,4226,890,4226,16,09/04/2019,12/05/2021,334.07 MB,,TeX,https://github.com/wangshusen/DeepLearning,334.07 MB
31,annotated_latex_equations,3899,212,3899,0,10/01/2022,12/07/2022,684.00 KB,"Examples of how to create colorful, annotated equations in Latex using Tikz.",TeX,https://github.com/synercys/annotated_latex_equations,684.00 KB
32,ucasthesis,3892,951,3892,24,08/05/2014,29/02/2024,1.67 MB,LaTeX Thesis Template for the University of Chinese Academy of Sciences ,TeX,https://github.com/mohuangrui/ucasthesis,1.67 MB
33,SJTUThesis,3826,795,3826,8,25/05/2012,20/05/2026,2.98 MB,上海交通大学 LaTeX 论文模板 | Shanghai Jiao Tong University LaTeX Thesis Template,TeX,https://github.com/sjtug/SJTUThesis,2.98 MB
34,latex_paper_writing_tips,3809,412,3809,1,19/11/2021,04/05/2023,4.03 MB,Tips for Writing a Research Paper using LaTeX,TeX,https://github.com/guanyingc/latex_paper_writing_tips,4.03 MB
35,lshort-zh-cn,3734,454,3734,5,07/06/2016,25/04/2026,718.00 KB,A Chi­nese edi­tion of the Not So Short Introduction to LaTeX2ε,TeX,https://github.com/CTeX-org/lshort-zh-cn,718.00 KB
36,zjuthesis,3723,750,3723,38,19/04/2018,08/12/2025,1.17 MB,Zhejiang University Graduation Thesis LaTeX Template,TeX,https://github.com/TheNetAdmin/zjuthesis,1.17 MB
37,perf-book,3609,252,3609,21,06/12/2021,09/06/2025,122.02 MB,"The book ""Performance Analysis and Tuning on Modern CPU""",TeX,https://github.com/dendibakh/perf-book,122.02 MB
38,the-sourdough-framework,3605,187,3605,23,21/01/2022,05/06/2026,206.69 MB,Open source book dedicated to helping you to make the best possible sourdough bread at home.,TeX,https://github.com/hendricius/the-sourdough-framework,206.69 MB
39,cphb,3473,403,3473,34,28/12/2016,01/08/2024,25.74 MB,Competitive Programmer's Handbook,TeX,https://github.com/pllk/cphb,25.74 MB
40,resume,3440,719,3440,3,09/03/2017,04/09/2024,36.58 MB,个人中文简历 Latex 源码 https://hijiangtao.github.io/,TeX,https://github.com/hijiangtao/resume,36.58 MB
41,archbase,3332,320,3332,4,27/10/2021,20/11/2025,232.55 MB,教科书《计算机体系结构基础》（胡伟武等，第三版）的开源版本,TeX,https://github.com/foxsen/archbase,232.55 MB
42,latexcv,3318,636,3318,0,15/06/2014,06/05/2026,14.90 MB,:necktie: A collection of cv and resume templates written in LaTeX. Leave an issue if your language is not supported!,TeX,https://github.com/jankapunkt/latexcv,14.90 MB
43,Introduction-to-Autonomous-Robots,3299,714,3299,8,15/11/2013,11/02/2026,453.20 MB,Introduction to Autonomous Robots,TeX,https://github.com/Introduction-to-Autonomous-Robots/Introduction-to-Autonomous-Robots,453.20 MB
44,cwa-documentation,3220,338,3220,39,12/05/2020,17/03/2023,19.81 MB,"Project overview, general documentation, and white papers. The CWA development ends on May 31, 2023. You still can warn other users until April 30, 2023. More information:",TeX,https://github.com/corona-warn-app/cwa-documentation,19.81 MB
45,probability_cheatsheet,3150,701,3150,3,13/07/2014,15/06/2022,4.06 MB,A comprehensive 10-page probability cheatsheet that covers a semester's worth of introduction to probability.,TeX,https://github.com/wzchen/probability_cheatsheet,4.06 MB
46,awesome-deep-learning-music,2975,347,2975,7,15/08/2017,15/12/2023,6.01 MB,List of articles related to deep learning applied to music,TeX,https://github.com/ybayle/awesome-deep-learning-music,6.01 MB
47,language,2926,236,2926,1321,13/06/2018,27/07/2026,5.74 MB,Design of the Dart language,TeX,https://github.com/dart-lang/language,5.74 MB
48,tensorflow-internals,2888,574,2888,23,30/06/2018,05/05/2023,104.46 MB,It is open source ebook about TensorFlow kernel and implementation mechanism.,TeX,https://github.com/horance-liu/tensorflow-internals,104.46 MB
49,MTBook,2793,751,2793,4,01/05/2020,14/09/2024,100.77 MB,《机器翻译：基础与模型》肖桐 朱靖波 著 - Machine Translation: Foundations and Models,TeX,https://github.com/NiuTrans/MTBook,100.77 MB
50,resume,2785,671,2785,0,28/08/2020,10/08/2024,143.00 KB,LaTeX template for my personal resume,TeX,https://github.com/jakegut/resume,143.00 KB
51,mcdowell-cv,2693,850,2693,18,14/12/2015,10/05/2024,1002.00 KB,A Nice-looking CV template made into LaTeX,TeX,https://github.com/dnl-blkv/mcdowell-cv,1002.00 KB
52,ml-pen-and-paper-exercises,2690,234,2690,5,27/06/2022,21/05/2024,1.77 MB,Pen and paper exercises in machine learning,TeX,https://github.com/michaelgutmann/ml-pen-and-paper-exercises,1.77 MB
53,ThinkPython2,2642,1669,2642,0,02/07/2015,09/04/2024,3.90 MB,"LaTeX source and supporting code for Think Python, 2nd edition, by Allen Downey.",TeX,https://github.com/AllenDowney/ThinkPython2,3.90 MB
54,Data-Science-Cheatsheet,2572,611,2572,5,10/08/2018,18/09/2022,3.60 MB,,TeX,https://github.com/ml874/Data-Science-Cheatsheet,3.60 MB
55,ElegantBook,2554,469,2554,43,15/01/2019,02/05/2026,24.04 MB,Elegant LaTeX Template for Books,TeX,https://github.com/ElegantLaTeX/ElegantBook,24.04 MB
56,transferlearning-tutorial,2545,492,2545,12,11/04/2018,02/05/2023,33.56 MB,《迁移学习简明手册》LaTex源码,TeX,https://github.com/jindongwang/transferlearning-tutorial,33.56 MB
57,NRLPapers,2515,634,2515,0,16/05/2017,03/08/2020,235.00 KB,Must-read papers on network representation learning (NRL) / network embedding (NE),TeX,https://github.com/thunlp/NRLPapers,235.00 KB
58,Awesome-RL-for-LRMs,2471,131,2471,4,20/03/2025,09/11/2025,34.29 MB,A Survey of Reinforcement Learning for Large Reasoning Models,TeX,https://github.com/TsinghuaC3I/Awesome-RL-for-LRMs,34.29 MB
59,adv-r,2458,1697,2458,130,20/08/2013,13/03/2025,37.67 MB,Advanced R: a book,TeX,https://github.com/hadley/adv-r,37.67 MB
60,MT-Reading-List,2435,441,2435,4,03/12/2018,09/08/2024,1021.00 KB,A machine translation reading list maintained by Tsinghua Natural Language Processing Group,TeX,https://github.com/THUNLP-MT/MT-Reading-List,1021.00 KB
61,latex2e,2434,317,2434,150,02/11/2017,30/07/2026,108.56 MB,The LaTeX2e kernel,TeX,https://github.com/latex3/latex2e,108.56 MB
62,hithesis,2353,399,2353,25,08/06/2017,19/06/2026,4.01 MB,嗨！thesis！哈尔滨工业大学毕业论文LaTeX模板,TeX,https://github.com/hithesis/hithesis,4.01 MB
63,the-little-go-book,2338,277,2338,10,12/10/2014,14/06/2026,562.00 KB,,TeX,https://github.com/karlseguin/the-little-go-book,562.00 KB
64,python-coding-interview,2314,472,2314,8,19/01/2019,27/02/2024,68.29 MB,A middle-to-high level open source algorithm book designed with coding interview at heart!,TeX,https://github.com/liyin2015/python-coding-interview,68.29 MB
