Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
32,flash-linux0.11-talk,22052,2914,22052,55,06/11/2021,22/03/2025,179.99 MB,你管这破玩意叫操作系统源码 — 像小说一样品读 Linux 0.11 核心代码,HTML,https://github.com/dibingfa/flash-linux0.11-talk,179.99 MB
33,gentelella,21314,6860,21314,41,15/05/2015,15/02/2026,37.08 MB,Free Bootstrap 5 Admin Dashboard Template,HTML,https://github.com/ColorlibHQ/gentelella,37.08 MB
34,rough,20834,644,20834,42,13/12/2016,28/07/2024,6.03 MB,"Create graphics with a hand-drawn, sketchy, appearance",HTML,https://github.com/rough-stuff/rough,6.03 MB
35,architecture.of.internet-product,20619,4731,20619,5,30/04/2018,17/02/2024,825.68 MB,互联网公司技术架构，微信/淘宝/微博/腾讯/阿里/美团点评/百度/OpenAI/Google/Facebook/Amazon/eBay的架构，欢迎PR补充,HTML,https://github.com/davideuler/architecture.of.internet-product,825.68 MB
36,SummaryOfLoanSuspension,20549,2118,20549,126,12/07/2022,13/07/2024,189.40 MB,全国各省市停贷通知汇总,HTML,https://github.com/WeNeedHome/SummaryOfLoanSuspension,189.40 MB
37,skill-map,20512,4345,20512,79,17/11/2015,20/01/2023,33.17 MB,程序员技能图谱,HTML,https://github.com/TeamStuQ/skill-map,33.17 MB
38,You-Dont-Need-JavaScript,20506,1508,20506,76,05/07/2016,04/12/2025,676.76 MB,"CSS is powerful, you can do a lot of things without JS.",HTML,https://github.com/you-dont-need/You-Dont-Need-JavaScript,676.76 MB
39,deeplearning_ai_books,20251,6109,20251,55,08/12/2017,29/04/2022,571.45 MB,deeplearning.ai（吴恩达老师的深度学习课程笔记及资源）,HTML,https://github.com/fengdu78/deeplearning_ai_books,571.45 MB
40,fonts,19715,2841,19715,1340,11/02/2015,19/02/2026,2.76 GB,"Font files available from Google Fonts, and a public issue tracker for all things Google Fonts",HTML,https://github.com/google/fonts,2.76 GB
41,Dism-Multi-language,18968,1188,18968,311,26/11/2016,17/12/2024,8.60 MB,Dism++ Multi-language Support & BUG Report,HTML,https://github.com/Chuyu-Team/Dism-Multi-language,8.60 MB
42,nndl.github.io,18710,3673,18710,88,06/09/2016,07/10/2022,656.83 MB,《神经网络与深度学习》 邱锡鹏著 Neural Network and Deep Learning ,HTML,https://github.com/nndl/nndl.github.io,656.83 MB
43,fastclick,18569,3157,18569,277,13/02/2012,13/08/2021,322.00 KB,Polyfill to remove click delays on browsers with touch UIs,HTML,https://github.com/ftlabs/fastclick,322.00 KB
44,uikit,18533,2310,18533,612,18/07/2013,19/02/2026,54.97 MB,A lightweight and modular front-end framework for developing fast and powerful web interfaces,HTML,https://github.com/uikit/uikit,54.97 MB
45,skrollr,18454,3442,18454,262,18/03/2012,23/01/2018,1.62 MB,Stand-alone parallax scrolling library for mobile (Android + iOS) and desktop. No jQuery. Just plain JavaScript (and some love).,HTML,https://github.com/Prinzhorn/skrollr,1.62 MB
46,web-starter-kit,18346,2949,18346,74,07/04/2014,22/04/2024,9.86 MB,Web Starter Kit - a workflow for multi-device websites,HTML,https://github.com/google/web-starter-kit,9.86 MB
47,twemoji,17557,1900,17557,140,06/11/2014,10/01/2026,822.71 MB,Emoji for everyone. https://twemoji.twitter.com/,HTML,https://github.com/twitter/twemoji,822.71 MB
48,blog_os,17295,1198,17295,95,23/07/2015,17/02/2026,17.92 MB,Writing an OS in Rust,HTML,https://github.com/phil-opp/blog_os,17.92 MB
49,masonry,16705,2084,16705,85,21/11/2009,07/06/2024,1.44 MB,:love_hotel: Cascading grid layout plugin,HTML,https://github.com/desandro/masonry,1.44 MB
50,Screenshot-to-code,16517,1553,16517,22,16/10/2017,16/08/2024,50.43 MB,A neural network that transforms a design mock-up into a static website.,HTML,https://github.com/emilwallner/Screenshot-to-code,50.43 MB
51,html-css,16000,3811,16000,522,09/03/2020,11/08/2025,273.06 MB,Curso de HTML5 e CSS3,HTML,https://github.com/gustavoguanabara/html-css,273.06 MB
52,windmill,15843,883,15843,646,05/05/2022,20/02/2026,352.27 MB,"Open-source developer platform to power your entire infra and turn scripts into webhooks, workflows and UIs. Fastest workflow engine (13x vs Airflow). Open-source alternative to Retool and Temporal.",HTML,https://github.com/windmill-labs/windmill,352.27 MB
53,AR.js,15833,2222,15833,24,17/02/2017,07/12/2022,319.67 MB,Efficient Augmented Reality for the Web - 60fps on mobile!,HTML,https://github.com/jeromeetienne/AR.js,319.67 MB
54,ecma262,15584,1390,15584,472,09/04/2014,18/02/2026,752.24 MB,"Status, process, and documents for ECMA-262",HTML,https://github.com/tc39/ecma262,752.24 MB
55,zphisher,15415,5808,15415,404,25/11/2019,21/08/2024,28.69 MB,An automated phishing tool with 30+ templates. This Tool is made for educational purpose only ! Author will not be responsible for any misuse of this toolkit !,HTML,https://github.com/htr-tech/zphisher,28.69 MB
56,zepto,15374,3877,15374,73,20/09/2010,19/10/2025,8.05 MB,"Zepto.js is a minimalist JavaScript library for modern browsers, with a jQuery-compatible API",HTML,https://github.com/madrobby/zepto,8.05 MB
57,opensource.guide,15241,15291,15241,3,15/06/2016,17/02/2026,18.71 MB,📚 Community guides for open source creators,HTML,https://github.com/github/opensource.guide,18.71 MB
58,al-folio,15135,12791,15135,50,30/05/2016,20/02/2026,351.80 MB,"A beautiful, simple, clean, and responsive Jekyll theme for academics",HTML,https://github.com/alshedivat/al-folio,351.80 MB
59,newspaper,14978,2134,14978,511,25/11/2013,06/12/2025,17.92 MB,"newspaper3k is a news, full-text, and article metadata extraction in Python 3. Advanced docs:",HTML,https://github.com/codelucas/newspaper,17.92 MB
60,dotnet,14975,2247,14975,264,23/10/2014,23/09/2025,3.14 MB,"This repo is the official home of .NET on GitHub. It's a great starting point to find many .NET OSS projects from Microsoft and the community, including many that are part of the .NET Foundation.",HTML,https://github.com/microsoft/dotnet,3.14 MB
61,Modern-CPP-Programming,14735,1038,14735,2,08/03/2018,30/01/2026,676.32 MB,Modern C++ Programming Course (C++03/11/14/17/20/23/26),HTML,https://github.com/federico-busato/Modern-CPP-Programming,676.32 MB
62,examples-of-web-crawlers,14572,3831,14572,21,13/03/2019,28/06/2025,279.74 MB,"一些非常有趣的python爬虫例子,对新手比较友好,主要爬取淘宝、天猫、微信、微信读书、豆瓣、QQ等网站。(Some interesting examples of python crawlers that are friendly to beginners. )",HTML,https://github.com/shengqiangzhang/examples-of-web-crawlers,279.74 MB
63,awesome-creative-coding,14475,922,14475,7,01/11/2016,16/06/2025,573.00 KB,"Creative Coding: Generative Art, Data visualization, Interaction Design, Resources.",HTML,https://github.com/terkelg/awesome-creative-coding,573.00 KB
64,smiley-sans,14215,379,14215,41,11/11/2022,10/12/2024,12.95 MB,得意黑 Smiley Sans：一款在人文观感和几何特征中寻找平衡的中文黑体,HTML,https://github.com/atelier-anchor/smiley-sans,12.95 MB
65,ai-edu,14047,2956,14047,98,16/11/2018,16/05/2024,966.31 MB,"AI education materials for Chinese students, teachers and IT professionals.",HTML,https://github.com/microsoft/ai-edu,966.31 MB
66,unstructured,13998,1165,13998,241,26/09/2022,20/02/2026,229.07 MB,"Convert documents to structured data effortlessly. Unstructured is open-source ETL solution for transforming complex documents into clean, structured formats for language models.  Visit our website to learn more about our enterprise grade Platform product for production grade workflows, partitioning, enrichments, chunking and embedding.",HTML,https://github.com/Unstructured-IO/unstructured,229.07 MB
