Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
28,servers,85653,10693,85653,452,19/11/2024,12/05/2026,28.04 MB,Model Context Protocol Servers,TypeScript,https://github.com/modelcontextprotocol/servers,28.04 MB
29,realworld,83439,7609,83439,36,26/02/2016,13/05/2026,34.66 MB,"""The mother of all demo apps"" — Exemplary fullstack Medium.com clone powered by React, Angular, Node, Django, and many more",TypeScript,https://github.com/realworld-apps/realworld,34.66 MB
30,vite,80609,8175,80609,724,21/04/2020,14/05/2026,67.60 MB,Next generation frontend tooling. It's fast!,TypeScript,https://github.com/vitejs/vite,67.60 MB
31,hoppscotch,79187,5869,79187,715,21/08/2019,14/05/2026,95.02 MB,"Open-Source API Development Ecosystem • https://hoppscotch.io • Offline, On-Prem & Cloud • Web, Desktop & CLI • Open-Source Alternative to Postman, Insomnia",TypeScript,https://github.com/hoppscotch/hoppscotch,95.02 MB
32,Stirling-PDF,78750,6899,78750,396,27/01/2023,14/05/2026,270.29 MB,#1 PDF Application on GitHub that lets you edit PDFs on any device anywhere,TypeScript,https://github.com/Stirling-Tools/Stirling-PDF,270.29 MB
33,code-server,77546,6672,77546,155,27/02/2019,08/05/2026,53.32 MB,VS Code in the browser,TypeScript,https://github.com/coder/code-server,53.32 MB
34,lobehub,77083,15172,77083,789,21/05/2023,14/05/2026,722.30 MB,"The ultimate space for work and life — to find, build, and collaborate with agent teammates that grow with you. We are taking agent harness to the next level — enabling multi-agent collaboration, effortless agent team design, and introducing agents as the unit of work interaction.",TypeScript,https://github.com/lobehub/lobehub,722.30 MB
35,claude-mem,75755,6505,75755,90,31/08/2025,14/05/2026,172.87 MB,"Persistent Context Across Sessions for Every Agent –  Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More",TypeScript,https://github.com/thedotmack/claude-mem,172.87 MB
36,nest,75488,8302,75488,28,04/02/2017,14/05/2026,472.26 MB,"A progressive Node.js framework for building efficient, scalable, and enterprise-grade server-side applications with TypeScript/JavaScript 🚀",TypeScript,https://github.com/nestjs/nest,472.26 MB
37,grafana,73742,13868,73742,3659,11/12/2013,15/05/2026,1.67 GB,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ",TypeScript,https://github.com/grafana/grafana,1.67 GB
38,superset,72836,17289,72836,1243,21/07/2015,15/05/2026,919.19 MB,Apache Superset is a Data Visualization and Data Exploration Platform,TypeScript,https://github.com/apache/superset,919.19 MB
39,screenshot-to-code,72582,8944,72582,122,14/11/2023,10/05/2026,7.88 MB,Drop in a screenshot and convert it to clean code (HTML/Tailwind/React/Vue),TypeScript,https://github.com/abi/screenshot-to-code,7.88 MB
40,daytona,72441,5568,72441,410,06/02/2024,14/05/2026,136.40 MB,Daytona is a Secure and Elastic Infrastructure for Running AI-Generated Code,TypeScript,https://github.com/daytonaio/daytona,136.40 MB
41,strapi,72175,9712,72175,756,30/09/2015,14/05/2026,619.54 MB,"🚀 Strapi is the leading open-source headless CMS. It’s 100% JavaScript/TypeScript, fully customizable, and developer-first.",TypeScript,https://github.com/strapi/strapi,619.54 MB
42,tabby,71310,4018,71310,2675,23/12/2016,09/05/2026,96.51 MB,A terminal for a more modern age,TypeScript,https://github.com/Eugeny/tabby,96.51 MB
43,AFFiNE,68387,4849,68387,614,31/07/2022,14/05/2026,424.15 MB,"There can be more than Notion and Miro. AFFiNE(pronounced [ə‘fain]) is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use. ",TypeScript,https://github.com/toeverything/AFFiNE,424.15 MB
44,echarts,66346,19806,66346,1656,03/04/2013,13/05/2026,261.40 MB,"Apache ECharts is a powerful, interactive charting and data visualization library for browser",TypeScript,https://github.com/apache/echarts,261.40 MB
45,paperclip,65463,11871,65463,3742,02/03/2026,14/05/2026,59.51 MB,The open-source app everyone uses to manage agents at work,TypeScript,https://github.com/paperclipai/paperclip,59.51 MB
46,docusaurus,64917,9883,64917,388,20/06/2017,14/05/2026,1.09 GB,Easy to maintain open source documentation websites.,TypeScript,https://github.com/facebook/docusaurus,1.09 GB
47,socket.io,63078,10148,63078,209,11/03/2010,27/04/2026,32.38 MB,Realtime application framework (Node.JS server),TypeScript,https://github.com/socketio/socket.io,32.38 MB
48,nocodb,63047,4769,63047,699,29/10/2017,14/05/2026,1.36 GB,🔥 🔥 🔥 A Free & Self-hostable Airtable Alternative,TypeScript,https://github.com/nocodb/nocodb,1.36 GB
49,cline,61785,6421,61785,860,06/07/2024,14/05/2026,392.42 MB,"Autonomous coding agent as an SDK, IDE extension, or CLI assistant.",TypeScript,https://github.com/cline/cline,392.42 MB
50,redux,61442,15071,61442,42,29/05/2015,01/05/2026,33.36 MB,A JS library for predictable global state management,TypeScript,https://github.com/reduxjs/redux,33.36 MB
51,learn-claude-code,60479,9894,60479,124,29/06/2025,11/05/2026,915.00 KB,"Bash is all you need -  A nano claude code–like 「agent harness」, built from 0 to 1",TypeScript,https://github.com/shareAI-lab/learn-claude-code,915.00 KB
52,nuxt,60217,5606,60217,798,26/10/2016,14/05/2026,134.75 MB,The Full-Stack Vue Framework.,TypeScript,https://github.com/nuxt/nuxt,134.75 MB
53,astro,59280,3444,59280,211,15/03/2021,14/05/2026,220.12 MB,The web framework for content-driven websites. ⭐️ Star to support our work!,TypeScript,https://github.com/withastro/astro,220.12 MB
54,zustand,58023,2053,58023,5,09/04/2019,13/05/2026,7.70 MB,🐻 Bear necessities for state management in React,TypeScript,https://github.com/pmndrs/zustand,7.70 MB
55,oh-my-openagent,57793,4689,57793,642,03/12/2025,15/05/2026,65.52 MB,omo; the best agent harness - previously oh-my-opencode,TypeScript,https://github.com/code-yeongyu/oh-my-openagent,65.52 MB
56,react-router,56413,10855,56413,149,16/05/2014,14/05/2026,46.17 MB,Declarative routing for React,TypeScript,https://github.com/remix-run/react-router,46.17 MB
57,appwrite,56073,5346,56073,877,08/04/2019,14/05/2026,420.11 MB,"Appwrite® - complete cloud infrastructure for your web, mobile and AI apps. Including Auth, Databases, Storage, Functions, Messaging, Hosting, Realtime and more",TypeScript,https://github.com/appwrite/appwrite,420.11 MB
58,context7,55312,2623,55312,146,26/03/2025,13/05/2026,26.89 MB,Context7 Platform -- Up-to-date code documentation for LLMs and AI code editors,TypeScript,https://github.com/upstash/context7,26.89 MB
59,joplin,54812,6103,54812,568,16/01/2017,15/05/2026,620.20 MB,"Joplin - the privacy-focused note taking app with sync capabilities for Windows, macOS, Linux, Android and iOS.",TypeScript,https://github.com/laurent22/joplin,620.20 MB
60,worldmonitor,54190,8711,54190,170,08/01/2026,14/05/2026,89.46 MB,"Real-time global intelligence dashboard. AI-powered news aggregation, geopolitical monitoring, and infrastructure tracking in a unified situational awareness interface",TypeScript,https://github.com/koala73/worldmonitor,89.46 MB
61,core,53673,9111,53673,980,12/06/2018,15/05/2026,41.04 MB,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.",TypeScript,https://github.com/vuejs/core,41.04 MB
62,Flowise,52820,24334,52820,843,31/03/2023,14/05/2026,79.15 MB,"Build AI Agents, Visually",TypeScript,https://github.com/FlowiseAI/Flowise,79.15 MB
63,ionic-framework,52503,13381,52503,630,20/08/2013,14/05/2026,1.59 GB,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.",TypeScript,https://github.com/ionic-team/ionic-framework,1.59 GB
