Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
28,GitUp,11819,1434,11819,373,13/08/2015,23/10/2025,63.77 MB,The Git interface you've been missing all your life has finally arrived.,Objective-C,https://github.com/git-up/GitUp,63.77 MB
29,LuLu,11623,532,11623,474,10/09/2017,20/11/2025,25.42 MB,LuLu is the free open-source macOS firewall,Objective-C,https://github.com/objective-see/LuLu,25.42 MB
30,JSPatch,11363,2232,11363,107,25/05/2015,01/12/2020,7.71 MB,JSPatch bridge Objective-C and Javascript using the Objective-C runtime. You can call any Objective-C class and method in JavaScript by just including a small engine. JSPatch is generally used to hotfix iOS App.,Objective-C,https://github.com/bang590/JSPatch,7.71 MB
31,Mantle,11295,1479,11295,0,05/09/2012,18/10/2022,1.60 MB,Model framework for Cocoa and Cocoa Touch,Objective-C,https://github.com/Mantle/Mantle,1.60 MB
32,JSQMessagesViewController,11120,2782,11120,0,17/02/2013,12/12/2018,19.94 MB,An elegant messages UI library for iOS,Objective-C,https://github.com/jessesquires/JSQMessagesViewController,19.94 MB
33,MagicalRecord,10750,1778,10750,242,27/07/2010,27/04/2021,7.97 MB,Super Awesome Easy Fetching for Core Data!,Objective-C,https://github.com/magicalpanda/MagicalRecord,7.97 MB
34,FSCalendar,10670,1955,10670,504,15/02/2015,10/08/2024,2.45 MB,"A fully customizable iOS calendar library, compatible with Objective-C and Swift",Objective-C,https://github.com/WenchaoD/FSCalendar,2.45 MB
35,RestKit,10134,2084,10134,365,09/02/2010,27/08/2022,42.47 MB,RestKit is a framework for consuming and modeling RESTful web resources on iOS and OS X,Objective-C,https://github.com/RestKit/RestKit,42.47 MB
36,UITableView-FDTemplateLayoutCell,9909,1995,9909,130,16/04/2015,07/03/2022,4.16 MB,Template auto layout cell for automatically UITableViewCell height calculating,Objective-C,https://github.com/forkingdog/UITableView-FDTemplateLayoutCell,4.16 MB
37,Alcatraz,9834,1133,9834,39,22/04/2013,28/09/2017,8.94 MB,Package manager for Xcode,Objective-C,https://github.com/alcatraz/Alcatraz,8.94 MB
38,PNChart,9678,1752,9678,174,06/11/2013,02/07/2018,676.00 KB,A simple and beautiful chart lib used in Piner and CoinsMan for iOS,Objective-C,https://github.com/kevinzhow/PNChart,676.00 KB
39,SocketRocket,9616,2017,9616,190,30/01/2012,04/12/2025,2.40 MB,A conforming Objective-C WebSocket client library.,Objective-C,https://github.com/facebookincubator/SocketRocket,2.40 MB
40,Shimmer,9361,1115,9361,21,18/02/2014,06/02/2021,2.71 MB,"An easy way to add a simple, shimmering effect to any view in an iOS app.",Objective-C,https://github.com/facebookarchive/Shimmer,2.71 MB
41,sequelpro,9191,840,9191,529,08/11/2013,25/02/2023,55.75 MB,MySQL/MariaDB database management for macOS,Objective-C,https://github.com/sequelpro/sequelpro,55.75 MB
42,YYText,8891,1731,8891,515,05/11/2015,16/07/2024,21.30 MB,Powerful text framework for iOS to display and edit rich text.,Objective-C,https://github.com/ibireme/YYText,21.30 MB
43,BaiduNetdiskPlugin-macOS,8824,1774,8824,66,06/03/2018,17/10/2020,1.29 MB,For macOS.百度网盘 破解SVIP、下载速度限制~,Objective-C,https://github.com/CodeTips/BaiduNetdiskPlugin-macOS,1.29 MB
44,MWPhotoBrowser,8747,2685,8747,335,21/10/2010,27/06/2024,21.23 MB,"A simple iOS photo and video browser with grid view, captions and selections.",Objective-C,https://github.com/mwaterfall/MWPhotoBrowser,21.23 MB
45,TTTAttributedLabel,8741,1697,8741,176,06/05/2011,24/06/2024,1.61 MB,"A drop-in replacement for UILabel that supports attributes, data detectors, links, and more",Objective-C,https://github.com/TTTAttributedLabel/TTTAttributedLabel,1.61 MB
46,Sloth,8706,170,8706,3,28/03/2011,16/11/2025,13.16 MB,"Mac app that shows all open files, directories, sockets, pipes and devices in use by all running processes. Nice GUI for lsof.",Objective-C,https://github.com/sveinbjornt/Sloth,13.16 MB
47,MJExtension,8519,2148,8519,27,23/05/2014,13/03/2024,2.65 MB,"A fast, convenient and nonintrusive conversion framework between JSON and model. Your model class doesn't need to extend any base class. You don't need to modify any model file.",Objective-C,https://github.com/CoderMJLee/MJExtension,2.65 MB
48,mac-mouse-fix,8453,245,8453,925,07/08/2019,05/12/2025,95.32 MB,Mac Mouse Fix - Make Your $10 Mouse Better Than an Apple Trackpad!,Objective-C,https://github.com/noah-nuebling/mac-mouse-fix,95.32 MB
49,Aspects,8418,1266,8418,108,03/05/2014,25/11/2025,501.00 KB,"Delightful, simple library for aspect oriented programming in Objective-C and Swift.",Objective-C,https://github.com/steipete/Aspects,501.00 KB
50,Sparkle,8322,1083,8322,20,11/08/2009,26/11/2025,43.73 MB,A software update framework for macOS,Objective-C,https://github.com/sparkle-project/Sparkle,43.73 MB
51,SlackTextViewController,8294,1074,8294,79,18/08/2014,29/10/2018,15.88 MB,⛔️**DEPRECATED** ⛔️ A drop-in UIViewController subclass with a growing text input view and other useful messaging features,Objective-C,https://github.com/slackhq/SlackTextViewController,15.88 MB
52,VVDocumenter-Xcode,8283,1527,8283,63,16/07/2013,19/04/2017,4.27 MB,"Xcode plug-in which helps you write documentation comment easier, for both Objective-C and Swift.",Objective-C,https://github.com/onevcat/VVDocumenter-Xcode,4.27 MB
53,shadowsocks-iOS,8172,3435,8172,178,27/12/2012,17/05/2022,12.82 MB,Removed according to regulations.,Objective-C,https://github.com/shadowsocks/shadowsocks-iOS,12.82 MB
54,TZImagePickerController,8161,1894,8161,72,07/01/2016,27/05/2025,6.96 MB,"一个支持多选、选原图和视频的图片选择器，同时有预览、裁剪功能，支持iOS6+。  A clone of UIImagePickerController, support picking multiple photos、original photo、video, also allow preview photo and video, support iOS6+",Objective-C,https://github.com/banchichen/TZImagePickerController,6.96 MB
55,analyze,8114,1964,8114,11,19/03/2016,14/11/2021,101.01 MB,Draven's Blog,Objective-C,https://github.com/draveness/analyze,101.01 MB
56,FastImageCache,8088,933,8088,40,21/08/2013,12/07/2023,1.70 MB,iOS library for quickly displaying images while scrolling,Objective-C,https://github.com/path/FastImageCache,1.70 MB
57,iOS-Runtime-Headers,7982,1604,7982,59,09/01/2011,17/05/2022,167.84 MB,iOS Objective-C headers as derived from runtime introspection,Objective-C,https://github.com/nst/iOS-Runtime-Headers,167.84 MB
58,FLAnimatedImage,7962,1213,7962,84,19/05/2014,21/03/2024,3.98 MB,Performant animated GIF engine for iOS,Objective-C,https://github.com/Flipboard/FLAnimatedImage,3.98 MB
59,trip-to-iOS,7905,2230,7905,3,02/01/2015,17/05/2022,156.00 KB,A curated list of delightful iOS resources.,Objective-C,https://github.com/Aufree/trip-to-iOS,156.00 KB
60,slate,7841,511,7841,262,23/05/2011,23/06/2022,47.63 MB,A window management application (replacement for Divvy/SizeUp/ShiftIt),Objective-C,https://github.com/jigish/slate,47.63 MB
61,FlatUIKit,7772,936,7772,31,08/05/2013,29/09/2016,2.07 MB,A collection of awesome flat UI components for iOS.,Objective-C,https://github.com/Grouper/FlatUIKit,2.07 MB
62,V2RayX,7681,1126,7681,118,10/02/2016,20/03/2023,23.15 MB,GUI for v2ray-core on macOS,Objective-C,https://github.com/Cenmrev/V2RayX,23.15 MB
63,PureLayout,7614,735,7614,47,23/06/2014,16/03/2023,1.06 MB,"The ultimate API for iOS & OS X Auto Layout — impressively simple, immensely powerful. Objective-C and Swift compatible.",Objective-C,https://github.com/PureLayout/PureLayout,1.06 MB
64,KVOController,7328,920,7328,15,24/02/2014,25/01/2020,163.00 KB,"Simple, modern, thread-safe key-value observing for iOS and OS X.",Objective-C,https://github.com/facebookarchive/KVOController,163.00 KB
65,DateTools,7221,946,7221,111,19/03/2014,21/08/2024,673.00 KB,Dates and times made easy in iOS,Objective-C,https://github.com/MatthewYork/DateTools,673.00 KB
66,Sequel-Ace,7209,278,7209,227,11/06/2020,01/12/2025,214.11 MB,MySQL/MariaDB database management for macOS,Objective-C,https://github.com/Sequel-Ace/Sequel-Ace,214.11 MB
67,QMUI_iOS,7207,1422,7207,210,20/12/2016,21/09/2024,7.03 MB,QMUI iOS——致力于提高项目 UI 开发效率的解决方案,Objective-C,https://github.com/Tencent/QMUI_iOS,7.03 MB
68,NewsBlur,7204,1022,7204,182,05/01/2009,05/12/2025,881.65 MB,NewsBlur is a personal news reader that brings people together to talk about the world. A new sound of an old instrument.,Objective-C,https://github.com/samuelclay/NewsBlur,881.65 MB
69,three20,7184,1466,7184,204,19/02/2009,02/05/2017,32.45 MB,Three20 is an Objective-C library for iPhone developers,Objective-C,https://github.com/facebookarchive/three20,32.45 MB
70,JVFloatLabeledTextField,7176,726,7176,28,01/10/2013,17/04/2023,401.00 KB,UITextField subclass with floating labels - inspired by Matt D. Smith's design: http://dribbble.com/shots/1254439--GIF-Mobile-Form-Interaction?list=users,Objective-C,https://github.com/jverdi/JVFloatLabeledTextField,401.00 KB
71,ZFPlayer,7138,1766,7138,251,03/03/2016,24/05/2024,156.40 MB,Support customization of any player SDK and control layer(支持定制任何播放器SDK和控制层),Objective-C,https://github.com/renzifeng/ZFPlayer,156.40 MB
72,Dash-iOS,7120,919,7120,37,06/11/2016,28/03/2021,53.47 MB,Dash for iOS was discontinued. Please check out Dash for macOS instead.,Objective-C,https://github.com/Kapeli/Dash-iOS,53.47 MB
73,SWTableViewCell,7097,1262,7097,175,10/09/2013,20/05/2021,2.83 MB,An easy-to-use UITableViewCell subclass that implements a swippable content view which exposes utility buttons (similar to iOS 7 Mail Application),Objective-C,https://github.com/CEWendel/SWTableViewCell,2.83 MB
74,RESideMenu,7069,1334,7069,132,17/06/2013,05/12/2017,11.68 MB,iOS 7/8 style side menu with parallax effect.,Objective-C,https://github.com/romaonthego/RESideMenu,11.68 MB
75,Reachability,6977,1249,6977,69,12/11/2011,12/04/2024,142.00 KB,ARC and GCD Compatible Reachability Class for iOS and MacOS. Drop in replacement for Apple Reachability,Objective-C,https://github.com/tonymillion/Reachability,142.00 KB
76,MGSwipeTableCell,6947,1067,6947,132,09/08/2014,22/03/2023,2.12 MB,An easy to use UITableViewCell subclass that allows to display swippable buttons with a variety of transitions.,Objective-C,https://github.com/MortimerGoro/MGSwipeTableCell,2.12 MB
77,xctool,6894,731,6894,9,24/04/2013,11/12/2019,9.30 MB,An extension for Apple's xcodebuild that makes it easier to test iOS and macOS apps.,Objective-C,https://github.com/facebookarchive/xctool,9.30 MB
78,BlocksKit,6862,1257,6862,91,17/05/2011,02/02/2018,5.72 MB,The Objective-C block utilities you always wish you had.,Objective-C,https://github.com/BlocksKit/BlocksKit,5.72 MB
79,jsonmodel,6842,1049,6842,34,02/12/2012,06/11/2021,1.60 MB,"Magical Data Modeling Framework for JSON - allows rapid creation of smart data models. You can use it in your iOS, macOS, watchOS and tvOS apps.",Objective-C,https://github.com/jsonmodel/jsonmodel,1.60 MB
80,MacPass,6822,467,6822,291,21/07/2012,07/05/2025,25.27 MB,A native macOS KeePass client ,Objective-C,https://github.com/MacPass/MacPass,25.27 MB
81,terminal-notifier,6804,342,6804,49,15/07/2012,02/11/2025,2.94 MB,Send User Notifications on macOS from the command-line.,Objective-C,https://github.com/julienXX/terminal-notifier,2.94 MB
82,Onboard,6794,759,6794,45,19/08/2014,01/01/2025,78.16 MB,An iOS framework to easily create a beautiful and engaging onboarding experience with only a few lines of code.,Objective-C,https://github.com/mamaral/Onboard,78.16 MB
83,YTKNetwork,6782,1650,6782,126,31/10/2014,22/04/2021,653.00 KB,YTKNetwork is a high level request util based on AFNetworking.,Objective-C,https://github.com/kanyun-inc/YTKNetwork,653.00 KB
84,MonkeyDev,6748,1228,6748,184,27/06/2017,09/07/2022,19.74 MB,"CaptainHook Tweak、Logos Tweak and Command-line Tool、Patch iOS Apps,  Without Jailbreak.",Objective-C,https://github.com/AloneMonkey/MonkeyDev,19.74 MB
85,MMDrawerController,6746,1371,6746,190,07/05/2013,09/01/2023,2.86 MB," A lightweight, easy to use, Side Drawer Navigation Controller",Objective-C,https://github.com/mutualmobile/MMDrawerController,2.86 MB
86,GCDWebServer,6603,1300,6603,42,29/12/2012,05/10/2022,12.04 MB,"The #1 HTTP server for iOS, macOS & tvOS (also includes web based uploader & WebDAV server)",Objective-C,https://github.com/swisspol/GCDWebServer,12.04 MB
87,injectionforxcode,6554,567,6554,77,28/05/2012,04/08/2022,6.48 MB,Runtime Code Injection for Objective-C & Swift,Objective-C,https://github.com/johnno1962/injectionforxcode,6.48 MB
88,nimbus,6419,1285,6419,3,09/06/2011,25/04/2024,44.35 MB,The iOS framework that grows only as fast as its documentation,Objective-C,https://github.com/jverkoey/nimbus,44.35 MB
89,JazzHands,6383,671,6383,15,29/09/2013,30/07/2024,2.98 MB,A simple keyframe-based animation framework for UIKit. Perfect for scrolling app intros.,Objective-C,https://github.com/IFTTT/JazzHands,2.98 MB
90,DTCoreText,6382,1191,6382,45,10/01/2011,29/07/2025,6.09 MB,Methods to allow using HTML code with CoreText,Objective-C,https://github.com/Cocoanetics/DTCoreText,6.09 MB
91,react-native-image-crop-picker,6321,1608,6321,637,17/05/2016,06/11/2025,8.49 MB,"iOS/Android image picker with support for camera, video, configurable compression, multiple images and cropping",Objective-C,https://github.com/ivpusic/react-native-image-crop-picker,8.49 MB
92,NWPusher,6319,674,6319,29,09/09/2012,30/03/2021,2.77 MB,OS X and iOS application and framework to play with the Apple Push Notification service (APNs),Objective-C,https://github.com/noodlewerk/NWPusher,2.77 MB
93,KIF,6241,920,6241,52,02/06/2011,09/10/2025,5.49 MB,Keep It Functional - An iOS Functional Testing Framework,Objective-C,https://github.com/kif-framework/KIF,5.49 MB
94,SDCycleScrollView,6208,1510,6208,505,24/03/2015,21/04/2023,1.93 MB,Autoscroll Banner.   无限循环图片、文字轮播器。,Objective-C,https://github.com/gsdios/SDCycleScrollView,1.93 MB
95,JSONKit,6204,1642,6204,104,27/07/2010,22/11/2020,1.16 MB,Objective-C JSON,Objective-C,https://github.com/johnezang/JSONKit,1.16 MB
96,JXCategoryView,6184,1163,6184,38,22/03/2018,07/08/2024,31.16 MB,"A powerful and easy to use category view (segmentedcontrol, segmentview, pagingview, pagerview, pagecontrol) (腾讯新闻、今日头条、QQ音乐、网易云音乐、京东、爱奇艺、腾讯视频、淘宝、天猫、简书、微博等所有主流APP分类切换滚动视图)",Objective-C,https://github.com/pujiaxin33/JXCategoryView,31.16 MB
97,ios-app-signer,6170,1134,6170,118,06/11/2015,01/09/2025,598.00 KB,This is an app for OS X that can (re)sign apps and bundle them into ipa files that are ready to be installed on an iOS device.,Objective-C,https://github.com/DanTheMan827/ios-app-signer,598.00 KB
98,KeepingYouAwake,6086,242,6086,32,19/10/2014,30/10/2025,7.00 MB,Prevents your Mac from going to sleep.,Objective-C,https://github.com/newmarcel/KeepingYouAwake,7.00 MB
99,lemon-cleaner,6017,784,6017,26,12/07/2022,04/12/2025,24.35 MB,腾讯柠檬清理是针对macOS系统专属制定的清理工具。主要功能包括重复文件和相似照片的识别、软件的定制化垃圾扫描、可视化的全盘空间分析、内存释放、浏览器隐私清理以及设备实时状态的监控等。重点聚焦清理功能，对上百款软件提供定制化的清理方案，提供专业的清理建议，帮助用户轻松完成一键式清理。,Objective-C,https://github.com/Tencent/lemon-cleaner,24.35 MB
100,AnyBar,5992,158,5992,17,02/03/2015,04/09/2025,1.05 MB,OS X menubar status indicator,Objective-C,https://github.com/tonsky/AnyBar,1.05 MB
101,MobileIMSDK,5915,1357,5915,24,07/10/2015,27/11/2025,264.27 MB,原创全平台IM通信层框架，轻量级、高度提炼，历经10年、久经考验。可能是市面上唯一同时支持UDP+TCP+WebSocket三种协议的同类开源框架，支持 iOS、Android、Java、H5、小程序、Uniapp、鸿蒙Next，服务端基于Netty。,Objective-C,https://github.com/JackJiang2011/MobileIMSDK,264.27 MB
102,FDFullscreenPopGesture,5906,1146,5906,111,29/05/2015,08/07/2021,1.04 MB,A UINavigationController's category to enable fullscreen pop gesture with iOS7+ system style.,Objective-C,https://github.com/forkingdog/FDFullscreenPopGesture,1.04 MB
103,XMPPFramework,5903,2075,5903,554,31/03/2011,22/04/2024,24.17 MB,An XMPP Framework in Objective-C for Mac and iOS,Objective-C,https://github.com/robbiehanson/XMPPFramework,24.17 MB
104,SDAutoLayout,5888,1270,5888,165,17/10/2015,12/05/2023,15.22 MB,One line of code to implement automatic layout.  一行代码搞定自动布局！支持Cell和Tableview高度自适应，Label和ScrollView内容自适应，致力于做最简单易用的AutoLayout库。The most easy way for autoLayout. Based on runtime.,Objective-C,https://github.com/gsdios/SDAutoLayout,15.22 MB
105,PonyDebugger,5859,590,5859,46,21/08/2012,18/03/2023,2.27 MB,Remote network and data debugging for your native iOS app using Chrome Developer Tools,Objective-C,https://github.com/square/PonyDebugger,2.27 MB
106,TPKeyboardAvoiding,5801,918,5801,103,14/04/2011,15/09/2023,237.00 KB,A drop-in universal solution for moving text fields out of the way of the keyboard in iOS,Objective-C,https://github.com/michaeltyson/TPKeyboardAvoiding,237.00 KB
107,XLForm,5755,940,5755,180,09/04/2014,03/06/2024,13.84 MB,XLForm is the most flexible and powerful iOS library to create dynamic table-view forms. Fully compatible with Swift & Obj-C. ,Objective-C,https://github.com/xmartlabs/XLForm,13.84 MB
108,asi-http-request,5752,1398,5752,168,14/07/2008,15/01/2019,6.99 MB,"Easy to use CFNetwork wrapper for HTTP requests, Objective-C,  Mac OS X and iPhone",Objective-C,https://github.com/pokeb/asi-http-request,6.99 MB
109,HexFiend,5735,449,5735,70,06/12/2011,29/06/2025,18.90 MB,A fast and clever hex editor for macOS,Objective-C,https://github.com/HexFiend/HexFiend,18.90 MB
110,JLRoutes,5719,690,5719,11,10/02/2013,21/02/2023,684.00 KB,URL routing library for iOS with a simple block-based API,Objective-C,https://github.com/joeldev/JLRoutes,684.00 KB
111,ResearchKit,5695,1165,5695,238,10/03/2015,18/10/2025,85.69 MB,ResearchKit is an open source software framework that makes it easy to create apps for medical research or for other research projects.,Objective-C,https://github.com/ResearchKit/ResearchKit,85.69 MB
112,EarlGrey,5673,738,5673,243,04/02/2016,12/11/2025,46.97 MB,:tea: iOS UI Automation Test Framework,Objective-C,https://github.com/google/EarlGrey,46.97 MB
113,Bolts-ObjC,5636,574,5636,42,30/01/2014,30/08/2021,638.00 KB,Bolts is a collection of low-level libraries designed to make developing mobile apps easier.,Objective-C,https://github.com/BoltsFramework/Bolts-ObjC,638.00 KB
114,CocoaHTTPServer,5616,1307,5616,129,17/12/2011,17/10/2023,1.69 MB,"A small, lightweight, embeddable HTTP server for Mac OS X or iOS applications",Objective-C,https://github.com/robbiehanson/CocoaHTTPServer,1.69 MB
115,ShiftIt,5547,361,5547,165,03/10/2010,20/11/2023,2.32 MB,Managing windows size and position in OSX,Objective-C,https://github.com/fikovnik/ShiftIt,2.32 MB
116,popping,5529,666,5529,4,27/05/2014,05/07/2017,392.00 KB,A collection of animation examples for iOS apps.,Objective-C,https://github.com/schneiderandre/popping,392.00 KB
117,MLeaksFinder,5449,945,5449,71,14/12/2015,11/09/2023,57.00 KB,Find memory leaks in your iOS app at develop time.,Objective-C,https://github.com/Tencent/MLeaksFinder,57.00 KB
118,iOSProject,5441,1620,5441,21,29/03/2017,05/09/2024,480.40 MB,"iOS project comprising a collection of demos for iOS Apps, developed in Objective-C;iOSProject iOSdemo iOSdemos ocdemo ocdemos",Objective-C,https://github.com/NJHu/iOSProject,480.40 MB
119,SAMKeychain,5395,955,5395,41,07/04/2010,20/07/2020,251.00 KB,Simple Objective-C wrapper for the keychain that works on Mac and iOS,Objective-C,https://github.com/soffes/SAMKeychain,251.00 KB
120,Canvas,5298,494,5298,36,05/12/2013,14/07/2019,977.00 KB,Animate in Xcode without code,Objective-C,https://github.com/CanvasPod/Canvas,977.00 KB
121,ViewDeck,5293,958,5293,21,05/12/2011,21/07/2022,4.72 MB,An implementation of the sliding menu found in various iOS apps.,Objective-C,https://github.com/ViewDeck/ViewDeck,4.72 MB
122,Knuff,5240,433,5240,21,13/10/2011,04/09/2022,5.48 MB,The debug application for Apple Push Notification Service (APNs).,Objective-C,https://github.com/KnuffApp/Knuff,5.48 MB
123,XVim,5148,589,5148,306,13/02/2012,09/01/2018,15.33 MB,Xcode plugin for Vim keybindings,Objective-C,https://github.com/XVimProject/XVim,15.33 MB
124,OHHTTPStubs,5062,599,5062,59,10/07/2012,09/05/2024,2.05 MB,"Stub your network requests easily! Test your apps with fake network data and custom response time, response code and headers!",Objective-C,https://github.com/AliSoftware/OHHTTPStubs,2.05 MB
125,CSStickyHeaderFlowLayout,5049,610,5049,25,08/01/2014,17/07/2021,1021.00 KB,"UICollectionView replacement of UITableView. Do even more like Parallax Header, Sticky Section Header. Made for iOS 7.",Objective-C,https://github.com/CSStickyHeaderFlowLayout/CSStickyHeaderFlowLayout,1021.00 KB
126,IPAPatch,5015,742,5015,42,18/03/2017,16/08/2024,4.67 MB,"Patch iOS Apps, The Easy Way, Without Jailbreak.",Objective-C,https://github.com/Naituw/IPAPatch,4.67 MB
127,NSLogger,4998,567,4998,49,30/09/2010,18/08/2023,31.48 MB,"A modern, flexible logging tool",Objective-C,https://github.com/fpillet/NSLogger,31.48 MB
128,EZAudio,4990,822,4990,196,30/11/2013,09/09/2025,9.27 MB,"An iOS and macOS audio visualization framework built upon Core Audio useful for anyone doing real-time, low-latency audio processing and visualizations.",Objective-C,https://github.com/syedhali/EZAudio,9.27 MB
