Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
27,_s,11007,3060,11007,22,01/02/2012,05/09/2025,1.09 MB,Inactive project – please visit https://themeshaper.com/block-themes/ to learn more about the future of WordPress themes with Block Themes.,CSS,https://github.com/Automattic/_s,1.09 MB
28,98.css,10938,364,10938,40,17/04/2020,07/09/2025,645.00 KB,A design system for building faithful recreations of old UIs,CSS,https://github.com/jdan/98.css,645.00 KB
29,CSS-Inspiration,10881,1002,10881,371,09/10/2018,13/02/2025,1.05 MB,CSS Inspiration，在这里找到写 CSS 的灵感！,CSS,https://github.com/chokcoco/CSS-Inspiration,1.05 MB
30,Effeckt.css,10840,1367,10840,0,02/07/2013,01/03/2019,1.90 MB,This repo is archived. Thanks!,CSS,https://github.com/h5bp/Effeckt.css,1.90 MB
31,loaders.css,10262,1199,10262,16,20/02/2015,03/05/2023,328.00 KB,"Delightful, performance-focused pure css loading animations.",CSS,https://github.com/ConnorAtherton/loaders.css,328.00 KB
32,photon,10080,573,10080,82,28/09/2015,21/12/2023,3.08 MB,The fastest way to build beautiful Electron apps using simple HTML and CSS,CSS,https://github.com/connors/photon,3.08 MB
33,GitHub-Dark,9929,647,9929,53,04/01/2011,11/03/2026,101.78 MB,:octocat: Dark GitHub style,CSS,https://github.com/StylishThemes/GitHub-Dark,101.78 MB
34,jupyter-themes,9827,1040,9827,205,10/12/2014,22/06/2025,45.24 MB,Custom Jupyter Notebook Themes,CSS,https://github.com/dunovank/jupyter-themes,45.24 MB
35,colors,9377,513,9377,16,17/06/2013,20/07/2023,959.00 KB,Smarter defaults for colors on the web.,CSS,https://github.com/mrmrs/colors,959.00 KB
36,spin.js,9291,1009,9291,15,16/08/2011,19/07/2024,743.00 KB,A spinning activity indicator,CSS,https://github.com/fgnass/spin.js,743.00 KB
37,php-the-right-way,9266,3224,9266,38,06/07/2012,22/01/2026,1.80 MB,"An easy-to-read, quick reference for PHP best practices, accepted coding standards, and links to authoritative tutorials around the Web",CSS,https://github.com/codeguy/php-the-right-way,1.80 MB
38,awesome-css-frameworks,9258,491,9258,1,01/09/2017,13/02/2026,184.00 KB,List of awesome CSS frameworks in 2026,CSS,https://github.com/troxler/awesome-css-frameworks,184.00 KB
39,frontend-slides,9172,668,9172,16,28/01/2026,04/03/2026,66.00 KB,Create beautiful slides on the web using Claude's frontend skills,CSS,https://github.com/zarazhangrui/frontend-slides,66.00 KB
