Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
35,phoenix_live_dashboard,2139,202,2139,15,27/11/2019,09/09/2025,4.35 MB,"Realtime dashboard with metrics, request logging, plus storage, OS and VM insights",Elixir,https://github.com/phoenixframework/phoenix_live_dashboard,4.35 MB
36,floki,2136,163,2136,25,02/11/2014,27/02/2026,1.64 MB,Floki is a simple HTML parser that enables search for nodes using CSS selectors.,Elixir,https://github.com/philss/floki,1.64 MB
37,libcluster,2135,199,2135,22,30/09/2016,09/01/2025,217.00 KB,Automatic cluster formation/healing for Elixir applications,Elixir,https://github.com/bitwalker/libcluster,217.00 KB
38,surface,2134,150,2134,35,17/07/2019,29/01/2026,2.79 MB,A server-side rendering component library for Phoenix,Elixir,https://github.com/surface-ui/surface,2.79 MB
39,tesla,2066,359,2066,25,16/03/2015,23/02/2026,2.32 MB,"The flexible HTTP client library for Elixir, with support for middleware and multiple adapters.",Elixir,https://github.com/elixir-tesla/tesla,2.32 MB
40,scenic,2050,137,2050,28,01/05/2018,08/11/2025,3.10 MB,Core Scenic library,Elixir,https://github.com/ScenicFramework/scenic,3.10 MB
41,ex_machina,2044,144,2044,2,14/09/2015,10/02/2026,522.00 KB,Create test data for Elixir applications,Elixir,https://github.com/beam-community/ex_machina,522.00 KB
42,poison,2030,213,2030,40,06/04/2014,12/08/2024,2.32 MB,"An incredibly fast, pure Elixir JSON library",Elixir,https://github.com/devinus/poison,2.32 MB
43,keila,2003,139,2003,70,01/01/2021,25/02/2026,9.12 MB,Open Source Newsletter Tool.,Elixir,https://github.com/pentacent/keila,9.12 MB
44,sequin,1989,118,1989,41,26/06/2024,23/02/2026,134.35 MB,"Postgres change data capture to streams, queues, and search indexes like Kafka, SQS, Elasticsearch, HTTP endpoints, and more",Elixir,https://github.com/sequinstream/sequin,134.35 MB
45,commanded,1986,257,1986,18,25/03/2016,23/02/2026,2.50 MB,Use Commanded to build Elixir CQRS/ES applications,Elixir,https://github.com/commanded/commanded,2.50 MB
46,bamboo,1951,339,1951,3,03/11/2015,03/02/2026,940.00 KB,"Testable, composable, and adapter based Elixir email library for devs that love piping.",Elixir,https://github.com/beam-community/bamboo,940.00 KB
47,bandit,1876,102,1876,1,10/11/2019,22/02/2026,15.57 MB,Bandit is a pure Elixir HTTP server for Plug & WebSock applications,Elixir,https://github.com/mtrudel/bandit,15.57 MB
48,expert,1830,87,1830,66,18/09/2024,27/02/2026,4.45 MB,Official Elixir Language Server Protocol implementation,Elixir,https://github.com/elixir-lang/expert,4.45 MB
49,manifold,1829,72,1829,2,15/02/2017,11/04/2023,87.00 KB,Fast batch message passing between nodes for Erlang/Elixir.,Elixir,https://github.com/discord/manifold,87.00 KB
50,timex,1806,402,1806,62,27/07/2014,14/06/2025,2.51 MB,A complete date/time library for Elixir projects.,Elixir,https://github.com/bitwalker/timex,2.51 MB
51,wallaby,1789,210,1789,55,26/02/2016,09/01/2026,1.29 MB,Concurrent browser tests for your Elixir web apps.,Elixir,https://github.com/elixir-wallaby/wallaby,1.29 MB
52,dialyxir,1783,161,1783,78,28/05/2013,06/11/2025,709.00 KB,Mix tasks to simplify use of Dialyzer in Elixir projects.,Elixir,https://github.com/jeremyjh/dialyxir,709.00 KB
53,sobelow,1773,116,1773,37,12/05/2017,20/08/2024,1.36 MB,Security-focused static analysis for the Phoenix Framework,Elixir,https://github.com/nccgroup/sobelow,1.36 MB
54,elixir-ls,1736,224,1736,61,25/03/2018,15/12/2025,9.21 MB,"A frontend-independent IDE ""smartness"" server for Elixir. Implements the ""Language Server Protocol"" standard and provides debugger support via the ""Debug Adapter Protocol""",Elixir,https://github.com/elixir-lsp/elixir-ls,9.21 MB
55,desktop,1733,62,1733,5,01/03/2021,26/01/2026,215.00 KB,"Building Local-First apps for Windows, MacOS, Linux, iOS and Android using Phoenix LiveView & Elixir!",Elixir,https://github.com/elixir-desktop/desktop,215.00 KB
56,cachex,1731,117,1731,7,15/02/2016,10/02/2026,1.99 MB,"A powerful caching library for Elixir with support for transactions, fallbacks and expirations",Elixir,https://github.com/whitfin/cachex,1.99 MB
57,ueberauth,1701,119,1701,29,13/10/2014,25/03/2025,227.00 KB,An Elixir Authentication System for Plug-based Web Applications,Elixir,https://github.com/ueberauth/ueberauth,227.00 KB
58,learn-elixir,1693,113,1693,131,01/12/2016,07/10/2024,5.17 MB,":droplet: Learn the Elixir programming language to build functional, fast, scalable and maintainable web applications!",Elixir,https://github.com/dwyl/learn-elixir,5.17 MB
59,axon,1673,121,1673,23,25/01/2021,13/02/2026,138.51 MB,Nx-powered Neural Networks,Elixir,https://github.com/elixir-nx/axon,138.51 MB
60,jason,1667,176,1667,20,04/06/2017,10/09/2024,3.62 MB,A blazing fast JSON parser and generator in pure Elixir.,Elixir,https://github.com/michalmuskala/jason,3.62 MB
61,elixir-companies,1664,382,1664,3,11/06/2015,23/02/2026,1.84 MB,A list of companies currently using Elixir in production.,Elixir,https://github.com/beam-community/elixir-companies,1.84 MB
62,pow,1663,160,1663,70,07/05/2018,28/01/2025,2.20 MB,"Robust, modular, and extendable user authentication system",Elixir,https://github.com/pow-auth/pow,2.20 MB
63,sorted_set_nif,1651,100,1651,12,26/11/2018,27/01/2026,67.00 KB,Elixir SortedSet backed by a Rust-based NIF,Elixir,https://github.com/discord/sorted_set_nif,67.00 KB
64,live_svelte,1631,74,1631,30,21/02/2023,20/02/2026,19.62 MB,Svelte inside Phoenix LiveView with seamless end-to-end reactivity,Elixir,https://github.com/woutdp/live_svelte,19.62 MB
65,flow,1609,88,1609,1,18/01/2017,25/02/2025,359.00 KB,Computational parallel flows on top of GenStage,Elixir,https://github.com/dashbitco/flow,359.00 KB
66,bumblebee,1592,129,1592,34,03/05/2022,28/01/2026,6.75 MB,Pre-trained Neural Network models in Axon (+ 🤗 Models integration),Elixir,https://github.com/elixir-nx/bumblebee,6.75 MB
67,ex_doc,1580,356,1580,11,06/03/2012,24/02/2026,14.80 MB,ExDoc produces HTML and EPUB documentation for Elixir projects,Elixir,https://github.com/elixir-lang/ex_doc,14.80 MB
68,gen_stage,1580,196,1580,3,26/08/2015,09/01/2026,1.28 MB,Producer and consumer actors with back-pressure for Elixir,Elixir,https://github.com/elixir-lang/gen_stage,1.28 MB
69,elixirscript,1567,68,1567,19,01/02/2015,20/08/2019,3.70 MB,Converts Elixir to JavaScript,Elixir,https://github.com/elixirscript/elixirscript,3.70 MB
70,bors-ng,1529,184,1529,181,29/12/2016,04/04/2024,4.83 MB,👁 A merge bot for GitHub Pull Requests,Elixir,https://github.com/bors-ng/bors-ng,4.83 MB
71,exq,1526,184,1526,27,31/07/2013,28/11/2025,3.01 MB,Job processing library for Elixir  - compatible with Resque / Sidekiq,Elixir,https://github.com/akira/exq,3.01 MB
72,swoosh,1518,245,1518,15,04/03/2016,25/02/2026,2.24 MB,"Compose, deliver and test your emails easily in Elixir",Elixir,https://github.com/swoosh/swoosh,2.24 MB
73,Elixir-Code-Smells,1507,57,1507,1,15/02/2022,12/09/2024,4.66 MB,Catalog of Elixir-specific code smells,Elixir,https://github.com/lucasvegi/Elixir-Code-Smells,4.66 MB
74,grpc,1503,243,1503,37,20/07/2016,26/02/2026,16.00 MB,An Elixir implementation of gRPC,Elixir,https://github.com/elixir-grpc/grpc,16.00 MB
75,benchee,1500,68,1500,25,22/05/2016,16/02/2026,1.89 MB,Easy and extensible benchmarking in Elixir providing you with lots of statistics!,Elixir,https://github.com/bencheeorg/benchee,1.89 MB
76,accent,1472,117,1472,56,20/03/2018,09/02/2026,13.02 MB,The first developer-oriented translation tool. True asynchronous flow between translators and your team.,Elixir,https://github.com/mirego/accent,13.02 MB
77,semaphore,1469,74,1469,142,21/01/2025,26/02/2026,71.26 MB,All-in-one delivery platform for AI-driven development.,Elixir,https://github.com/semaphoreio/semaphore,71.26 MB
78,membrane_core,1464,45,1464,71,26/01/2017,26/02/2026,5.74 MB,"The core of Membrane Framework, multimedia processing framework written in Elixir",Elixir,https://github.com/membraneframework/membrane_core,5.74 MB
79,horde,1461,116,1461,0,08/05/2018,18/11/2025,857.00 KB,Horde is a distributed Supervisor and Registry backed by Postgres,Elixir,https://github.com/elixir-horde/horde,857.00 KB
80,kaffy,1422,174,1422,74,07/05/2020,02/10/2025,14.47 MB,Powerfully simple admin package for phoenix applications,Elixir,https://github.com/aesmail/kaffy,14.47 MB
81,mint,1408,118,1408,7,25/10/2017,30/01/2026,1.05 MB,Functional HTTP client for Elixir with support for HTTP/1 and HTTP/2 🌱,Elixir,https://github.com/elixir-mint/mint,1.05 MB
82,midarr-server,1397,39,1397,6,02/02/2022,03/11/2025,595.09 MB,"🔥Midarr, the minimal lightweight media server.",Elixir,https://github.com/midarrlabs/midarr-server,595.09 MB
83,mox,1390,77,1390,8,25/09/2017,24/02/2026,155.00 KB,Mocks and explicit contracts in Elixir,Elixir,https://github.com/dashbitco/mox,155.00 KB
84,hound,1378,141,1378,86,15/12/2013,09/07/2024,474.00 KB,Elixir library for writing integration tests and browser automation,Elixir,https://github.com/HashNuke/hound,474.00 KB
85,nebulex,1377,78,1377,5,14/02/2017,21/02/2026,1.20 MB,In-memory and distributed caching toolkit for Elixir.,Elixir,https://github.com/elixir-nebulex/nebulex,1.20 MB
86,live_beats,1363,183,1363,15,05/11/2021,20/06/2024,538.00 KB,,Elixir,https://github.com/fly-apps/live_beats,538.00 KB
87,uneebee,1351,90,1351,0,10/09/2023,30/01/2025,4.85 MB,Platform for creating interactive courses.,Elixir,https://github.com/zoonk/uneebee,4.85 MB
88,finch,1347,131,1347,27,23/10/2019,24/02/2026,1.03 MB,"Elixir HTTP client, focused on performance",Elixir,https://github.com/sneako/finch,1.03 MB
89,ex_aws,1333,565,1333,82,15/09/2014,23/02/2026,2.10 MB,"A flexible, easy to use set of clients AWS APIs for Elixir",Elixir,https://github.com/ex-aws/ex_aws,2.10 MB
90,maru,1319,86,1319,18,31/12/2014,13/09/2019,609.00 KB,Elixir RESTful Framework ,Elixir,https://github.com/elixir-maru/maru,609.00 KB
91,comeonin,1318,64,1318,2,19/12/2014,03/02/2025,520.00 KB,Password hashing specification for the Elixir programming language,Elixir,https://github.com/riverrun/comeonin,520.00 KB
92,lanyard,1306,172,1306,19,10/03/2021,11/12/2025,422.00 KB,🏷️   Expose your Discord presence and activities to a RESTful API and WebSocket in less than 10 seconds,Elixir,https://github.com/Phineas/lanyard,422.00 KB
93,req,1291,156,1291,69,28/03/2021,24/02/2026,1.03 MB,Req is a batteries-included HTTP client for Elixir.,Elixir,https://github.com/wojtekmach/req,1.03 MB
94,fast-elixir,1286,43,1286,8,01/04/2017,08/11/2023,1.10 MB,:dash: Writing Fast Elixir :heart_eyes: -- Collect Common Elixir idioms.,Elixir,https://github.com/devonestes/fast-elixir,1.10 MB
95,coherence,1259,221,1259,75,04/07/2016,20/08/2024,1.08 MB,"Coherence is a full featured, configurable authentication system for Phoenix",Elixir,https://github.com/smpallen99/coherence,1.08 MB
96,explorer,1254,144,1254,52,23/07/2021,08/02/2026,3.85 MB,Series (one-dimensional) and dataframes (two-dimensional) for fast and elegant data exploration in Elixir,Elixir,https://github.com/elixir-explorer/explorer,3.85 MB
97,swarm,1249,109,1249,45,25/07/2016,22/06/2022,522.00 KB,"Easy clustering, registration, and distribution of worker processes for Erlang/Elixir",Elixir,https://github.com/bitwalker/swarm,522.00 KB
98,tv,1248,78,1248,14,29/02/2024,04/02/2026,10.71 MB,Open source Twitch for developers,Elixir,https://github.com/algora-io/tv,10.71 MB
99,00,1237,65,1237,9,23/04/2024,22/10/2024,14.10 MB,A markdown email micro service for the people!,Elixir,https://github.com/technomancy-dev/00,14.10 MB
100,policr-mini,1235,116,1235,11,07/06/2020,01/08/2025,3.11 MB,专注于验证的 Telegram 机器人,Elixir,https://github.com/Hentioe/policr-mini,3.11 MB
101,witchcraft,1229,61,1229,24,06/10/2015,28/08/2023,6.57 MB,Monads and other dark magic for Elixir,Elixir,https://github.com/witchcrafters/witchcraft,6.57 MB
102,hologram,1221,99,1221,65,23/07/2020,26/02/2026,18.68 MB,Full stack Elixir web framework that intelligently compiles Elixir client-side code to JavaScript,Elixir,https://github.com/bartblast/hologram,18.68 MB
103,beacon,1220,129,1220,66,21/12/2021,27/01/2026,8.79 MB,"Open-source Content Management System (CMS) built with Phoenix LiveView. Faster render times to boost SEO performance, even for the most content-heavy pages.",Elixir,https://github.com/BeaconCMS/beacon,8.79 MB
104,curriculum,1216,271,1216,2,04/02/2022,10/10/2024,24.04 MB,,Elixir,https://github.com/DockYard-Academy/curriculum,24.04 MB
105,ex_admin,1202,268,1202,130,28/05/2015,03/02/2020,16.44 MB,ExAdmin is an auto administration package for Elixir and the Phoenix Framework,Elixir,https://github.com/smpallen99/ex_admin,16.44 MB
106,postgrex,1201,300,1201,6,08/09/2013,01/02/2026,2.07 MB,PostgreSQL driver for Elixir,Elixir,https://github.com/elixir-ecto/postgrex,2.07 MB
107,algora,1198,58,1198,31,09/10/2024,22/02/2026,67.14 MB,Hire the top 1% OSS engineers,Elixir,https://github.com/algora-io/algora,67.14 MB
108,faker,1180,233,1180,67,08/04/2014,20/02/2026,1.17 MB,Faker is a pure Elixir library for generating fake data.,Elixir,https://github.com/elixirs/faker,1.17 MB
109,torch,1177,85,1177,13,23/06/2016,16/02/2026,4.05 MB,A rapid admin generator for Elixir & Phoenix,Elixir,https://github.com/mojotech/torch,4.05 MB
110,fastglobal,1175,84,1175,13,15/02/2017,09/03/2023,8.00 KB,Fast no copy globals for Elixir & Erlang.,Elixir,https://github.com/discord/fastglobal,8.00 KB
111,arc,1166,211,1166,82,05/06/2015,12/07/2024,266.00 KB,:paperclip: Flexible file upload and attachment library for Elixir,Elixir,https://github.com/stavro/arc,266.00 KB
112,elixir-boilerplate,1162,83,1162,14,18/03/2019,19/11/2025,1.37 MB,⚗ The stable base upon which we build our Elixir projects at Mirego.,Elixir,https://github.com/mirego/elixir-boilerplate,1.37 MB
113,fun_with_flags,1155,90,1155,11,30/01/2017,21/09/2025,870.00 KB,Feature Flags/Toggles for Elixir,Elixir,https://github.com/tompave/fun_with_flags,870.00 KB
114,farmbot_os,1148,280,1148,22,12/01/2014,03/09/2025,81.37 MB,The operating system and all related software that runs on FarmBot's Raspberry Pi.,Elixir,https://github.com/FarmBot/farmbot_os,81.37 MB
115,flame,1144,59,1144,28,30/10/2023,09/12/2025,194.00 KB,Fleeting Lambda Application for Modular Execution: auto scale parts of your existing app with a single function call,Elixir,https://github.com/phoenixframework/flame,194.00 KB
116,ElixirCode,1142,350,1142,6,27/10/2016,03/10/2019,183.00 KB,Reference Repo for an Elixir course on Udemy.com,Elixir,https://github.com/StephenGrider/ElixirCode,183.00 KB
117,eventstore,1138,154,1138,24,22/02/2016,04/02/2026,1.70 MB,Event store using PostgreSQL for persistence,Elixir,https://github.com/commanded/eventstore,1.70 MB
118,hexpm,1136,297,1136,17,28/01/2014,26/02/2026,18.39 MB,API server and website for Hex,Elixir,https://github.com/hexpm/hexpm,18.39 MB
119,redix,1132,130,1132,5,11/08/2015,26/02/2026,895.00 KB,"Fast, pipelined, resilient Redis driver for Elixir. 🛍",Elixir,https://github.com/whatyouhide/redix,895.00 KB
120,dynamo,1111,146,1111,18,07/01/2012,12/04/2017,2.59 MB,"Run, Dynamo, Run!",Elixir,https://github.com/dynamo/dynamo,2.59 MB
121,stickerbaker,1101,154,1101,4,23/02/2024,14/05/2024,13.82 MB,Let's bake some (AI) stickers!,Elixir,https://github.com/cbh123/stickerbaker,13.82 MB
122,langchain,1095,185,1095,57,12/07/2023,23/02/2026,1.92 MB,Elixir implementation of a LangChain style framework that lets Elixir projects integrate with and leverage LLMs.,Elixir,https://github.com/brainlid/langchain,1.92 MB
123,poxa,1083,99,1083,13,31/05/2013,30/06/2024,745.00 KB,Pusher server implementation compatible with Pusher client libraries.,Elixir,https://github.com/edgurgel/poxa,745.00 KB
