Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
33,oriDomi,2417,201,2417,9,02/08/2012,13/08/2024,4.55 MB,🪭 Fold up DOM elements like paper,CoffeeScript,https://github.com/dmotz/oriDomi,4.55 MB
34,hubot-slack,2416,638,2416,23,22/04/2013,12/08/2024,811.00 KB,Slack Developer Kit for Hubot,CoffeeScript,https://github.com/slackapi/hubot-slack,811.00 KB
35,node-cache,2371,144,2371,77,18/10/2011,04/06/2024,1.35 MB,a node internal (in-memory) caching module,CoffeeScript,https://github.com/node-cache/node-cache,1.35 MB
36,js2coffee,2083,199,2083,98,03/06/2011,13/11/2023,2.18 MB,Compile JavaScript to CoffeeScript,CoffeeScript,https://github.com/js2coffee/js2coffee,2.18 MB
37,QuoJS,2056,232,2056,23,23/12/2011,03/09/2018,3.92 MB,Micro #JavaScript Library for Mobile Devices,CoffeeScript,https://github.com/soyjavi/QuoJS,3.92 MB
38,shadowsocks-gui,2002,1145,2002,2,28/05/2013,24/09/2018,1.99 MB,Shadowsocks GUI client,CoffeeScript,https://github.com/shadowsocks/shadowsocks-gui,1.99 MB
39,camo,1854,396,1854,25,13/11/2010,04/04/2021,215.00 KB,:lock: an http proxy to route images through SSL,CoffeeScript,https://github.com/atmos/camo,215.00 KB
40,CoffeeScriptRedux,1836,113,1836,98,02/06/2012,19/07/2022,3.14 MB,:sweat: rewrite of the CoffeeScript compiler with proper compiler design principles and a focus on robustness and extensibility,CoffeeScript,https://github.com/michaelficarra/CoffeeScriptRedux,3.14 MB
41,ng-token-auth,1785,230,1785,115,27/06/2014,06/12/2022,1.69 MB,Token based authentication module for angular.js.,CoffeeScript,https://github.com/lynndylanhurley/ng-token-auth,1.69 MB
42,dnschain,1733,168,1733,44,26/01/2014,22/04/2017,1.83 MB,"A blockchain-based DNS + HTTP server that fixes HTTPS security, and more!",CoffeeScript,https://github.com/okTurtles/dnschain,1.83 MB
43,BuckyClient,1726,94,1726,19,13/09/2013,05/08/2016,671.00 KB,Collect performance data from the client,CoffeeScript,https://github.com/HubSpot/BuckyClient,671.00 KB
44,vim-mode,1713,249,1713,0,01/08/2013,15/06/2017,1.59 MB,Next generation vim support for atom,CoffeeScript,https://github.com/atom/vim-mode,1.59 MB
45,eco,1697,70,1697,33,19/09/2010,02/07/2019,339.00 KB,Embedded CoffeeScript templates,CoffeeScript,https://github.com/sstephenson/eco,339.00 KB
46,slidesjs,1697,350,1697,341,03/08/2010,07/12/2020,2.45 MB,SlidesJS is obsolete and no longer maintained.,CoffeeScript,https://github.com/nathansearles/slidesjs,2.45 MB
47,jquery.shapeshift,1663,303,1663,86,10/10/2012,25/12/2016,1.85 MB,A dynamic grid system with drag and drop functionality.,CoffeeScript,https://github.com/AshesOfOwls/jquery.shapeshift,1.85 MB
48,caniuse-cmd,1640,53,1640,16,15/03/2015,19/09/2018,19.00 KB,Caniuse command line tool,CoffeeScript,https://github.com/sgentle/caniuse-cmd,19.00 KB
49,please-wait,1587,151,1587,8,14/11/2014,17/11/2021,1.10 MB,A simple library to show your users a beautiful splash page while your application loads.,CoffeeScript,https://github.com/Pathgather/please-wait,1.10 MB
50,squel,1567,227,1567,128,20/12/2011,25/08/2021,3.30 MB,:office: SQL query string builder for Javascript,CoffeeScript,https://github.com/hiddentao/squel,3.30 MB
51,cyclotron,1546,109,1546,40,22/10/2015,05/03/2024,8.70 MB,A web platform for constructing dashboards.,CoffeeScript,https://github.com/ExpediaGroup/cyclotron,8.70 MB
52,pretty-error,1524,51,1524,25,27/10/2013,16/06/2024,362.00 KB,See node.js errors with less clutter,CoffeeScript,https://github.com/AriaMinaei/pretty-error,362.00 KB
53,kartograph.js,1503,224,1503,35,17/11/2011,12/05/2018,1.72 MB,UNMAINTAINED Open source JavaScript renderer for Kartograph SVG maps,CoffeeScript,https://github.com/kartograph/kartograph.js,1.72 MB
54,atom-beautify,1501,444,1501,400,03/03/2014,24/01/2026,3.50 MB,:mega: Help Wanted - Looking for Maintainer: https://github.com/Glavin001/atom-beautify/issues/2572 | :lipstick: Universal beautification package for Atom editor (:warning: Currently migrating to https://github.com/Unibeautify/ and have very limited bandwidth for Atom-Beautify Issues. Thank you for your patience and understanding :heart: ),CoffeeScript,https://github.com/Glavin001/atom-beautify,3.50 MB
55,roots,1452,129,1452,55,18/09/2012,14/04/2020,7.52 MB,a toolkit for rapid advanced front-end development,CoffeeScript,https://github.com/jescalan/roots,7.52 MB
56,VimFx,1432,174,1432,7,04/07/2012,24/01/2026,5.92 MB,Vim keyboard shortcuts for Firefox,CoffeeScript,https://github.com/akhodakivskiy/VimFx,5.92 MB
57,qqbot,1431,383,1431,23,28/12/2013,15/02/2016,204.00 KB,基于WebQQ协议的QQ机器人。命令行工具，Hubot支持！,CoffeeScript,https://github.com/xhan/qqbot,204.00 KB
58,omelette,1398,43,1398,26,26/04/2013,21/01/2022,2.04 MB,"Omelette is a simple, template based autocompletion tool for Node and Deno projects with super easy API. (For Bash, Zsh and Fish)",CoffeeScript,https://github.com/f/omelette,2.04 MB
59,atom-vim-mode-plus,1394,107,1394,127,20/09/2015,07/10/2021,7.31 MB,vim-mode improved,CoffeeScript,https://github.com/t9md/atom-vim-mode-plus,7.31 MB
60,gulp-cheatsheet,1374,81,1374,4,02/06/2014,28/08/2016,27.23 MB,A cheatsheet for gulp.js,CoffeeScript,https://github.com/osscafe/gulp-cheatsheet,27.23 MB
61,repl.it,1350,226,1350,1,25/08/2011,11/04/2016,1.84 MB,https://repl.it/feedback Online REPL for 15+ languages.,CoffeeScript,https://github.com/replit-archive/repl.it,1.84 MB
62,cson,1347,54,1347,4,02/06/2011,22/11/2025,717.00 KB,CoffeeScript-Object-Notation. Same as JSON but for CoffeeScript objects.,CoffeeScript,https://github.com/bevry/cson,717.00 KB
63,atom-simplified-chinese-menu,1334,137,1334,25,07/07/2015,06/08/2018,1.86 MB,"Atom 的简体中文汉化扩展,目前最全的汉化包。包含菜单汉化、右键菜单汉化以及设置汉化",CoffeeScript,https://github.com/chinakids/atom-simplified-chinese-menu,1.86 MB
64,tacofancy,1303,438,1303,15,02/11/2013,20/04/2024,4.58 MB,community-driven taco repo. stars stars stars.,CoffeeScript,https://github.com/dansinker/tacofancy,4.58 MB
65,aurora.js,1272,145,1272,65,13/06/2012,17/04/2019,471.00 KB,JavaScript audio decoding framework,CoffeeScript,https://github.com/audiocogs/aurora.js,471.00 KB
66,apm,1270,294,1270,198,07/05/2013,28/09/2022,53.66 MB,Atom Package Manager,CoffeeScript,https://github.com/atom/apm,53.66 MB
67,shadowsocks-nodejs,1247,719,1247,5,18/05/2012,11/08/2016,610.00 KB,,CoffeeScript,https://github.com/shadowsocks/shadowsocks-nodejs,610.00 KB
68,coffeekup,1247,84,1247,38,03/09/2010,26/10/2011,1.28 MB,Markup as CoffeeScript.,CoffeeScript,https://github.com/mauricemach/coffeekup,1.28 MB
69,mondrian,1242,101,1242,21,24/01/2014,30/10/2017,1.63 MB,Web-based vector graphics editor,CoffeeScript,https://github.com/artursapek/mondrian,1.63 MB
70,tourist,1226,96,1226,13,03/05/2013,11/10/2018,990.00 KB,"Simple, flexible tours for your app",CoffeeScript,https://github.com/easelinc/tourist,990.00 KB
71,badges,1216,734,1216,9,20/01/2014,05/04/2019,42.00 KB,:flower_playing_cards: Readme Badges – Gotta catch 'em all,CoffeeScript,https://github.com/boennemann/badges,42.00 KB
72,json-diff,1201,136,1201,32,17/04/2012,10/04/2024,584.00 KB,Structural diff for JSON files,CoffeeScript,https://github.com/andreyvit/json-diff,584.00 KB
73,coffeelint,1197,170,1197,87,05/12/2011,19/10/2021,1.85 MB,Lint your CoffeeScript.,CoffeeScript,https://github.com/clutchski/coffeelint,1.85 MB
74,octonode,1191,234,1191,25,21/11/2011,06/12/2022,712.00 KB,github api v3 in nodejs,CoffeeScript,https://github.com/pksunkara/octonode,712.00 KB
75,lineman,1169,80,1169,28,23/07/2012,12/11/2021,917.00 KB,"Lineman helps you build fat-client JavaScript apps. It produces happiness by building assets, mocking servers, running specs on every file change",CoffeeScript,https://github.com/linemanjs/lineman,917.00 KB
76,pushd,1159,222,1159,60,28/03/2012,15/07/2020,728.00 KB,Blazing fast multi-protocol mobile and web push notification service,CoffeeScript,https://github.com/rs/pushd,728.00 KB
77,literallycanvas,1120,318,1120,94,11/11/2012,29/05/2020,3.48 MB,A canvas in your browser. Literally.,CoffeeScript,https://github.com/literallycanvas/literallycanvas,3.48 MB
78,git-time-machine,1112,37,1112,43,17/10/2015,01/08/2021,25.99 MB,Atom package that allows you to travel back in commit history,CoffeeScript,https://github.com/littlebee/git-time-machine,25.99 MB
79,angular-masonry,1108,211,1108,54,12/07/2013,17/05/2017,1.52 MB,An AngularJS directive for Masonry.,CoffeeScript,https://github.com/passy/angular-masonry,1.52 MB
80,node-rtsp-rtmp-server,1100,282,1100,81,09/01/2014,11/10/2025,554.00 KB,RTSP/RTMP/HTTP hybrid server,CoffeeScript,https://github.com/iizukanao/node-rtsp-rtmp-server,554.00 KB
81,4chan-x,1090,150,1090,1003,01/04/2014,16/12/2025,516.80 MB,Adds various features to anonymous imageboards.,CoffeeScript,https://github.com/ccd0/4chan-x,516.80 MB
82,hubble,1085,41,1085,0,13/08/2012,01/02/2023,1.43 MB,A dashboard that displays in the terminal,CoffeeScript,https://github.com/jaymedavis/hubble,1.43 MB
83,node-slug,1073,90,1073,39,19/09/2011,05/04/2019,466.00 KB,slugifies even utf-8 chars!,CoffeeScript,https://github.com/dodo/node-slug,466.00 KB
84,Coffee-Physics,1055,84,1055,7,27/02/2012,12/12/2016,265.00 KB,"A simple, lightweight physics engine written in CoffeeScript",CoffeeScript,https://github.com/soulwire/Coffee-Physics,265.00 KB
85,apparatus,1049,61,1049,40,21/09/2015,30/06/2023,14.72 MB,A hybrid graphics editor and programming environment for creating interactive diagrams.,CoffeeScript,https://github.com/cdglabs/apparatus,14.72 MB
86,buckets,1048,147,1048,7,25/04/2014,31/05/2015,6.47 MB,[DEPRECATED] Manage content better.,CoffeeScript,https://github.com/bucketsio/buckets,6.47 MB
87,stitch,1037,80,1037,32,18/09/2010,02/11/2012,287.00 KB,Stitch your CommonJS modules together for the browser,CoffeeScript,https://github.com/sstephenson/stitch,287.00 KB
88,jquery.turbolinks,1003,62,1003,19,02/10/2012,03/09/2017,79.00 KB,💀 Deprecated ⚠️ jQuery plugin for drop-in fix binded events problem caused by Turbolinks,CoffeeScript,https://github.com/kossnocorp/jquery.turbolinks,79.00 KB
89,dploy,979,88,979,54,07/05/2013,05/02/2019,468.00 KB,⛔️ currently unmaintained ⛔️,CoffeeScript,https://github.com/lucasmotta/dploy,468.00 KB
90,sloc,965,81,965,41,28/07/2012,15/11/2025,292.00 KB,simple tool to count SLOC (source lines of code),CoffeeScript,https://github.com/flosse/sloc,292.00 KB
